name,AngelList_website,tagline
Bevvy,https://angel.co/company/bevvy,Hotels.com for bars and clubs
Edicy,https://angel.co/company/edicy,If Apple designed Weebly — for businesses
KiteReaders,https://angel.co/company/kitereaders,Turn screen time into reading time!
Import2,https://angel.co/company/import2,Simple Data Management Tools
Scaled Recognition,https://angel.co/company/scaled-recognition,Siri for handwriting and text
Linknovate,https://angel.co/company/linknovate,LinkedIn for science
Smart Patients,https://angel.co/company/smart-patients,communities for smart cancer patients
Butter Systems,https://angel.co/company/butter-systems,A Smarter Restaurant Menu for Smartphones
Sparktrend,https://angel.co/company/sparktrend,Showing marketers how to create engaging content that drives more traffic
Mountary,https://angel.co/company/mountary,"Easiest way to get your photos, poster and art on the wall"
Jetpack Workflow,https://angel.co/company/jetpack-workflow,Workflow Management For Recurring Client Work (SMB Professional Firms) 
Biofab,https://angel.co/company/biofab-1,Laboratory 3d Printing Medical Prosthesis
ResultsOnAir,https://angel.co/company/resultsonair,"Predictive TV Analytics (500,B13)"
Speedlancer,https://angel.co/company/speedlancer,Freelance Tasks That Scale
Sumu,https://angel.co/company/sumuapp,Recommendations for Apartments
CarForce,https://angel.co/company/thecarforce-com,the connected car company - 2016 Mobility Startup of the Year @ SxSW
Wivity,https://angel.co/company/wivity,Solving IoT device security with transparency
Arka,https://angel.co/company/arkainc,"Custom Product Packaging, Made Easy. "
My Child,https://angel.co/company/my-child-1,
WizDish,https://angel.co/company/wizdish-1,The market leading VR Treadmill that lets you walk in Virtual Reality
Mashed Pixel,https://angel.co/company/mashed-pixel,"Surc, The last remote you'll ever need"
Fancorps,https://angel.co/company/fancorps,Word-Of-Mouth Marketing and Brand Advocacy Technology Solution
Vixely,https://angel.co/company/vixely,Cosmopolitan Magazine + E-Commerce on the iPad
iubenda,https://angel.co/company/iubenda,"Compliance for your website, app and organization"
64 Pixels,https://angel.co/company/64-pixels,Popular browser extensions
Niania.pl,https://angel.co/company/niania-pl,Connecting families with caregivers. Second biggest European nanny service
Tracti.on,https://angel.co/company/tracti-on,Bloomberg for VC Deal Flow
Pontaba,https://angel.co/company/pontaba,Heroku for Game Developers
reQwip,https://angel.co/company/reqwip,Buy and sell sports gear P2P using a mobile and web app.
Like A Local,https://angel.co/company/like-a-local,Combining local travel tips with a marketplace for local tours & activities
Snibbe Studio,https://angel.co/company/snibbe-studio,Visual Music
Mill33,https://angel.co/company/mill33,Email for Digital Publishers
Shopsy,https://angel.co/company/shopsy,The marketplace to shop for fashion products seen on Instagram.
FriendsVow,https://angel.co/company/friendsvow1,Connecting people with financial credit online
Retrace,https://angel.co/company/retrace,Best way to remember and organize the stories of the people you've met.
Border City Media / BuzzAngle Music,https://angel.co/company/border-city-media,"Industry disruptive analytics service for music business companies, brands and advertisers"
FirstRide,https://angel.co/company/firstride,Helping Consumers Buy New Cars & Maintain Cars Online.
MealHopper,https://angel.co/company/mealhopper,Home food from Homemakers!
Day2life,https://angel.co/company/day2life-1,
Blume.,https://angel.co/company/meetblume,We go with your flow.
B'Wished,https://angel.co/company/b-wished, The fastest and easiest way to buy the perfect gift for a friend.
Innovate Wireless Health,https://angel.co/company/innovate-wireless-health,"Wireless, Patient Communications Platform Produces Real-Time Healthcare Analytics"
Club Point,https://angel.co/company/club-point,"Latin American ""Gilt"" (Flash Sales Site)"
TagBrand,https://angel.co/company/tagbrand,TagBrand is the service that brings people together on the basis of their brands loyalty.
Pike Productions,https://angel.co/company/pike-productions,Mobile Game Developer
Changemakrs,https://angel.co/company/changemakrs,Choose your thoughts; choose your life.
map2app,https://angel.co/company/map2app,Platform to create mobile travel guide - Acquired by lastminute.com group
JASONSHOUSE,https://angel.co/company/jasonshouse,Disrupting Real Estate Services
LexFuel,https://angel.co/company/lexfuel,The on-demand legal marketplace for the 99%.
Geddit,https://angel.co/company/geddit,Classroom feedback that just works. 
FindYogi,https://angel.co/company/findyogi,Shopping Decision Made Simple
SimpleDeal,https://angel.co/company/simpledeal,Fixing what Groupon & Yelp have broken. Doing what mobile advertising can't.
Eterniam,https://angel.co/company/eterniam,Create your digital estate
Gather,https://angel.co/company/gather-1,The easiest way to share and discuss places with friends.
