Organization Name,Organization Name URL,Categories,Full Description
Deliveroo,https://www.crunchbase.com/organization/deliveroo,"Delivery, Food and Beverage, Food Delivery, Restaurants, Same Day Delivery",Deliveroo owns and operates an online food delivery platform in the United Kingdom. Its platform allows users to order food from local restaurants.  Gregory Orlowski and William Shu founded Deliveroo in 2012. It has its headquarters in London in the United Kingdom.
DoorDash,https://www.crunchbase.com/organization/doordash,"Delivery, Food Delivery, Local, Logistics, Mobile, Small and Medium Businesses","DoorDash provides on-demand restaurant food delivery services connecting customers with local businesses across the United States and Canada. The company is passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living.  Andy Fang, Evan Moore, Stanley Tang, and Tony Xu founded Palo Alto Delivery in June 2013, which became DoorDash, Inc. in October 2014, with its headquarters based in San Francisco in California."
Dunzo,https://www.crunchbase.com/organization/dunzo,"Automotive, Customer Service, Messaging, Mobile, Mobile Apps, Personalization","Dunzo operates a daily tasks management app dunzo. It provides delivery services in Bengaluru, Delhi, Gurgaon, Pune, Chennai and Hyderabad and also operates a Bike Taxi service in Gurgaon.  Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, and Mukund Jha founded Dunzo in 2015. It has its headquarters in Bengaluru in India."
Dish Network,https://www.crunchbase.com/organization/dish-network,"Audio, Consumer Electronics, Telecommunications","Dish Network is a satellite service provider that offers satellite television, audio programming, and interactive television services. The company operates through two segments, DISH and Wireless, and provides video services under the DISH brand. Its programming packages include regional and specialty sports channels, premium movie channels, and Latino and international programming through national broadcast networks, local broadcast networks, and national and regional cable networks; and receiver systems.  Additionally, Dish Network provides satellite broadband services, and wireline voice and broadband services under the dishNET brand; and linear streaming OTT services, which include news and children’s programs as well as a video on-demand programming library. The company also offers dishanywhere.com and mobile applications for smartphones and tablets to view authorized content, search program listings, and remotely control features of their digital video recorders. Its Dishanywhere.com and mobile applications provides access to approximately 80,000 movies, television shows, clips, and trailers. Further, it has wireless spectrum licenses and related assets, and offers receiver systems and programming through direct sales channels, small satellite retailers, direct marketing groups, local and regional consumer electronics stores, nationwide retailers, and telecommunications companies. Dish Network was founded by Charlie Ergen in 1980 and is based in Englewood, Colorado."
Discord,https://www.crunchbase.com/organization/discord,"Apps, Gaming, Mobile, Video Chat","Discord is a voice, video, and text chat app designed specifically for gamers. It's free, secure, and works on both desktop and phone.  Discord currently has 87 million registered users with over 14 million Daily Active Users. The service sees 9.5 billion messages posted a month, 1.5M new users per week and in 130 countries.  Founded by the team behind OpenFeint - a networking platform that united mobile games with achievements and social functionality - Discord has raised over $50M from top VCs like Greylock, Benchmark, Accel, and Tencent."
Docker,https://www.crunchbase.com/organization/docker,"Cloud Computing, Enterprise Software, Open Source, SaaS","Docker develops an open platform for building, shipping, and running distributed applications. Its platform allows developers and system administrators to create and run applications as a collection of containers that work across laptops, data center virtual machines, and public cloud instances.  Docker also offers an application run-time and packaging tool and a cloud service for sharing applications and automating workflows. Starting in 2008, dotCloud became Docker in October 2013, with its headquarters in San Francisco, California."
Dollar Shave Club,https://www.crunchbase.com/organization/dollar-shave-club,"E-Commerce, Internet, Retail","Founded by Mark Levine and Michael Dubin in July 2011, DollarShaveClub.com is a leading provider of quality razors to its members. Dollar Shave Club is a monthly membership service that delivers fresh, stainless steel razor blades and other personal grooming products to customers by mail. Home delivery, rather than purchasing through conventional retail stores is an added convenience for customers. Dollar Shave Club is dedicated to providing their customers a high-quality product while saving money. Available razor subscriptions include: * The Humble Twin: a standard two-blade razor ($1/month, plus s+h) * The 4x: a four-blade razor perfect for men’s or women’s hair removal needs ($6/month, shipping included) * The Executive: a state-of-the-art six-blade razor ($9/month, shipping included) In 2012, Dollar Shave Club launched the campaign video “Our Blades Are F***ing Great,” that introduced the company. As the video went viral, orders reached 12,000 in the first two days. Dollar Shave Club’s viral video received an award from Adage, for “Best Out-of-Nowhere Video Campaign,” and a Webby Award for best Fashion & Beauty website. With half a million members, Dollar Shave Club launched two new products in 2013, as part of their goal to help customers make smarter choices in their grooming routine. Dr. Carver’s Easy Shave Butter to accompany the razors and One Wipe Charlies, a disposable butt wipe for men. In 2014, the company expanded their product line to include Dr. Carver’s Magnanimous Post Shave Moisturizer: the ultimate amnesty after the disruptive act of shaving. Involved with several charity organizations and fundraising efforts, Dollar Shave Club has worked with the Colon Cancer Alliance to raise funds for cancer research."
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,"Cloud Computing, Virtualization, Web Hosting","DigitalOcean is an IaaS company that delivers the fastest and easiest way for developers and businesses to deploy and scale any application in the cloud. With a laser focus on simplifying the end-user experience, DigitalOcean accelerates software development so developers spend more time building features and less time managing their infrastructure. With more than 750,000 registered customers and over 40,000 teams, DigitalOcean has become the second largest and fastest growing cloud computing platform in the world."
Digital Trends,https://www.crunchbase.com/organization/digital-trends,"Consumer Electronics, Media and Entertainment, News","Digital Trends was founded in 2006 by Ian Bell and Dan Gaul, and started out above a small furniture store in Lake Oswego, Oregon. Their goal was to share with the world their love for home theater, cars, and all things tech -- but from their unique viewpoint that technology should be fun, easy to use, and designed well. That vision has grown to be shared by hundreds of millions of people around the world, and our little company has expanded to more than seven offices worldwide and over a hundred amazing and inspirational employees. Tech should be a tool to better our lives and create incredible experiences. We help get you there."
Dialogue,https://www.crunchbase.com/organization/dialogue,"Health Care, Hospital, Wellness","Dialogue was founded with the mission to improve wellbeing by reducing barriers to quality care. As the largest and fastest-growing telemedicine company in Canada, Dialogue provides convenient, virtual access to a multidisciplinary team of healthcare professionals for Canadian companies who care. By empowering employees to be proactive about their physical and mental health, businesses can reap the significant benefits associated with happier and healthier employees."
