Organization Name,Organization Name URL,Categories,Full Description
Hulu,https://www.crunchbase.com/organization/hulu,"Content, Film, TV, Video, Video Streaming","Hulu is an online video service that offers a selection of hit shows, clips, movies and more at Hulu.com. Hulu brings together a selection of videos from over 260 content companies, including FOX, NBCUniversal, ABC, Criterion, A&E Networks, Lionsgate, Endemol, MGM, MTV Networks, Comedy Central, National Geographic, Digital Rights Group, Paramount, Sony Pictures, Warner Bros., TED, etc. Hulu also offers a wide array of acclaimed movies and documentaries. Founded in March 2007, Hulu is operated independently by a dedicated management team with offices in Los Angeles, New York, Chicago, Seattle and Beijing."
Honor,https://www.crunchbase.com/organization/honor-2,"Home Health Care, Information Services, Information Technology, Mobile","Honor is the first company ever to bring scalable workforce management and technology expertise together with the high-touch, personalized care of local homegrown care agencies. Working with Honor Care Network Partners, Honor helps older adults live safely and comfortably in their own home by enabling reliable, transparent, high-quality care. Founded in 2015, Honor is now one of the fastest-growing, non-medical home care companies in the U.S., currently providing care to families across the United States. Honor is currently hiring. View jobs at https://www.joinhonor.com/careers."
Hilton Worldwide,https://www.crunchbase.com/organization/hilton-worldwide,"Hospitality, Leisure, Resorts","Hilton Worldwide is a global hospitality company that operates a network of luxury and full-service hotels and resorts, extended-stay suites, and focused-service hotels. The company owns over 4,400 hotels, resorts, and timeshare properties comprising more than 730,000 rooms in 97 countries and territories. Its offerings include Hilton Hotels & Resorts, Waldorf Astoria Hotels & Resorts, Conrad Hotels & Resorts, Canopy by Hilton, Curio - A Collection by Hilton, DoubleTree by Hilton, Embassy Suites Hotels, Hilton Garden Inn, Hampton Hotels, Homewood Suites by Hilton, Home2 Suites by Hilton, and Hilton Grand Vacations. The company also manages an award-winning customer loyalty program, Hilton HHonors. Hilton Worldwide was founded in 1919 and is headquartered in Virginia, United States with offices in Tennessee, United States; Watford, United Kingdom; Dubai, United Arab Emirates; and Singapore."
Health Catalyst,https://www.crunchbase.com/organization/health-catalyst,"Analytics, Computer, Enterprise Software, Health Care, Information Technology, Software","Catalyst is solving healthcare data warehouse issues for some of the nation’s top health systems. With the shift from paper to electronic records,it has become a challenge to organize health data, make sense of it, and to do it quickly. Catalyst helps organize, normalize, and link the data from all your different systems. And they make it searchable by all your users, even the non-technical, by using rich meta data capabilities.  This enables you to use your data for complex operational, financial, clinical, and research reporting requirements—capabilities that give everyone the answers they seek, fast."
Hipcamp,https://www.crunchbase.com/organization/hipcamp,"Content, Content Discovery, Outdoors","Hipcamp unlocks access to private land for camping and outdoor recreation. It is a mission-driven marketplace where people can list, discover, and book campsites and accommodations on private and public land. Whether it’s finding a scenic spot to pitch a tent or planning a nature-filled getaway, Hipcamp is the go-to guide to getting outside. Hipcamp creates new revenue streams for landowners such as farmers, ranchers, and vintners, which supports them to conserve their land and keep it wild. By unlocking access and simplifying the camping experience, Hipcamp is democratizing and enhancing the experience of getting outside, inspiring more people to enjoy and protect our world. The company was founded in 2013 and is headquartered in San Francisco, California."
HoloBuilder,https://www.crunchbase.com/organization/holobuilder,"Commercial Real Estate, Construction, Industrial Engineering, Project Management, SaaS, Smart Building, Software","HoloBuilder, Inc. is a San Francisco-based construction technology company that designs, develops, and sells enterprise SaaS software. HoloBuilder offers reality capturing solutions for progress documentation and construction project management. Making use of 360° imagery data, computer vision, and artificial intelligence, HoloBuilder is the fastest and most insightful solution to document construction projects. HoloBuilder is being used by 59 of the largest 100 General Contractors in the United States. Its investors include Brick and Mortar Ventures, Tandem Capital, E.ON, Foundamental, and NRW.BANK."
Halodoc,https://www.crunchbase.com/organization/halodoc,"Health Care, Medical, Pharmaceutical","HaloDoc is a healthcare network platform. HaloDoc connects users to a network of 19,000 licensed doctors, 1,000 certified partner pharmacies through medical delivery service ApotikAntar, and licensed medical laboratory services. Users can communicate with these medical professionals via chat, video and voice call."
H2O.ai,https://www.crunchbase.com/organization/h2o-2,"Analytics, Artificial Intelligence, Big Data, Cloud Computing, Machine Learning, Software","H2O.ai provides an open source machine learning platform that makes it easy to build smart applications. Using their platform data scientists and developers can import powerful algorithms into their applications. Their technology is already being used to predict fraud, customer churn, etc. at over 5,000 organizations and our customers include the likes of Cisco, PayPal, and Progressive. H20.ai also provides solutions for insurance, healthcare, telecom, marketing, financial service, retail, and manufacturing. It was founded in 2012 and is headquartered in California, USA."
Honeywell International,https://www.crunchbase.com/organization/honeywell,"Aerospace, Electronics, Information Technology, Innovation Management, Manufacturing, Market Research, Service Industry, Software","Honeywell International is a technology and manufacturing company that offers energy, safety, and security solutions and technologies. It offers aerospace products and services; control technologies for buildings, homes, and industry; automotive products; turbochargers;  specialty chemicals; electronic and advanced materials; process technology for refining and petrochemicals; and energy efficient products and solutions. The company offers energy efficiency benefits across four industry sectors: transportation, commercial buildings, industrial, and residential. Its safety technologies focus on emergency management, flights, and workplace. It offers security and control technologies for industrial, defense, and residential purposes. Honeywell International’s offerings are categorized as consumer and home; aerospace and defense; safety and security; buildings, construction, and maintenance; scanning and mobile productivity; industrial process control; efficiency, energy, and utilities; automotive and transportation; oil and gas, refining, petrochemicals, and biofuels; healthcare and medical; chemicals, specialty materials, and fertilizers; manufacturing; and fire protection and first responder. Honeywell International was founded in 1906 and is based in Morristown, New Jersey."
Haus,https://www.crunchbase.com/organization/haus-2,Real Estate,"Pay less, live more. Haus is on a mission to bring flexibility and affordability to home ownership. Instead of taking on a mortgage and debt, homeowners and aspiring buyers can partner with Haus to buy what they can afford. With this co-investing model, monthly payments are 30% lower on average, compared to a traditional mortgage. And, homeowners have the flexibility to buy and sell equity in real time. Haus is an Expa Studio company. Expa is a global network of entrepreneurs helping each other build companies with offices in San Francisco, New York, and Vancouver."
Human Interest,https://www.crunchbase.com/organization/captain401,"Financial Services, FinTech, Personal Finance, Retirement","Human Interest (formerly Captain401) is an online service and tool that helps small businesses and startups set up 401(k) plans for their employees. It encourages employers to safeguard the financial futures of their employees. It enables businesses of any size to set up and administer a 401(k) plan online with an automated investment advising component (via Human Interest Advisors, LLC) to help employees make better financial decisions about their savings.  Human Interest also helps employees become more educated about the best available choices. They are an automated, paperless 401(k) that reduces all administrative burden for their customers. The company creating an easy system for small and medium businesses to begin offering a 401(k) to employees. Human Interest was founded in 2015 to help address an important financial concern for Americans: not having enough money for retirement. It is headquartered in San Francisco, California."
Houzz,https://www.crunchbase.com/organization/houzz,"Architecture, Home Improvement, Home Renovation, Interior Design, Smart Home","Houzz is the leading platform for home remodeling and design, providing people with everything they need to improve their homes from start to finish – online or from a mobile device. From decorating a small room to building a custom home and everything in between, Houzz connects millions of homeowners, home design enthusiasts and home improvement professionals across the country and around the world. With the largest residential design database in the world and a vibrant community empowered by technology, Houzz is the easiest way for people to find inspiration, get advice, buy products and hire the professionals they need to help turn their ideas into reality. Headquartered in Palo Alto, CA, Houzz also has international offices in London, Berlin, Sydney, Moscow, Bangalore, Tel Aviv and Tokyo."
Hero,https://www.crunchbase.com/organization/hero-health,Health Care,Hero is the first and only in-home medication manager that intuitively sorts and dispenses medication; has audible and digital reminders; automates refills; and provides real-time as well as historical adherence data at your fingertips.  Hero was founded to be the world's most people-focused healthcare company by creating frictionless solutions to the most challenging problems facing patients and caregivers.
HelloFresh,https://www.crunchbase.com/organization/hellofresh,"Delivery Service, Food and Beverage, Food Delivery, Subscription Service","HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week. It enables anyone to cook quick and healthy meals designed by nutritionists and chefs. HelloFresh aims to provide each and every household in its 10 markets with the opportunity to enjoy wholesome home-cooked meals with no planning, no shopping, and no hassle required.  Their subscription business model with regular delivery enables them to fundamentally change the way consumers shop for food and to develop new ways people prepare and consume meals, changing the traditional food supply chain. HelloFresh is at the forefront of disrupting a multitrillion dollar industry at the very beginning of its online transition."
HubSpot,https://www.crunchbase.com/organization/hubspot,"Analytics, Information Technology, Marketing, SaaS, Social Media","HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online. Its service portfolio includes social media publishing and monitoring, blogging, SEO, website content management, email marketing, marketing automation, and reporting and analytics. HubSpot’s sales application enables sales and service teams to have effective conversations with leads and prospects. HubSpot was founded by Brian Halligan and Dharmesh Shah, and is headquartered in Cambridge, Massachusetts with an office in Dublin, Ireland."
Hotstar,https://www.crunchbase.com/organization/hotstar,"Digital Media, Internet, Software, Video, Video Streaming","Hotstar operates an online video streaming platform. It began operation in 2000, with its headquarters in Mumbai in India, now as a subsidiary of Star India."
Hudl,https://www.crunchbase.com/organization/hudl,"Software, Sports, Video","Hudl is a platform and software that provides video analysis and coaching tools for sports teams. It enables coaches to upload footage of games, practices, and opponents, break the video down, add telestrations, voice clips, text feedback, and deliver the video and coaching notes to their athletes. It also allows athletes to build highlight reels and promote themselves to recruiters. Hudl was launched on May 5, 2006, based in Lincoln, Nebraska. It serves over 13,000 high schools, 80 percent of Div I colleges, over 80 percent of Div II/Div III/NAIA/Juco colleges, 10 NFL teams, 2 NBA teams, and 8 NHL teams and over 2500 youth teams across 20 different sports."
Harver,https://www.crunchbase.com/organization/harver,"Employee Benefits, Employment, Predictive Analytics, Recruiting","Harver is a pre-employment assessment platform for hiring at scale. Hundreds of the most innovative companies use Harver to digitally transform their candidate selection process and hire top talent.  With offices in Amsterdam, NY, and London, Harver is disrupting the recruitment industry and providing companies with an intelligent way to evaluate and automate all aspects of candidate selection, while simultaneously fighting unconscious bias in the process."
Hazel Technologies,https://www.crunchbase.com/organization/hazel-technologies-llc,"Agriculture, AgTech, Biotechnology","Hazel Technologies develops biotechnology for reducing waste in the agricultural supply chain. Their product development is funded in part by the United States Department of Agriculture (USDA) and their product performance has been validated by 3rd party academic research institutions such as Cornell University. The company provides USDA-funded 1-MCP technology conditions the storage atmosphere to reduce respiration rate & increase resistance to ethylene. Hazel Technologies offers horticultural consulting services to growers and shippers, as well as develops new solutions to reduce food waste to improve the fresh produce supply chain. It also provides shelf-life extension technologies and services to combat the global food waste problem and improve profitability for its customers. Hazel Technologies was founded in 2015 and is headquartered in Chicago, Illinois, USA."
HackerOne,https://www.crunchbase.com/organization/hackerone,"Computer, Internet, Network Security","HackerOne is the #1 hacker-powered, application security platform.  More than 1,200 organizations, including the U.S. Department of Defense, General Motors, Goldman Sachs, Google, Twitter, Marriott, Nintendo, Lufthansa, Qualcomm, Starbucks, and Dropbox, trust HackerOne and its community of over 250,000 ethical hackers to find critical software vulnerabilities before they are exploited by criminals. For a comprehensive look at the industry based on the largest repository of hacker reported vulnerability data, download The Hacker-Powered Security Report 2018 --> https://www.hackerone.com/resources/hacker-powered-security-report"
Headspace,https://www.crunchbase.com/organization/headspace,"Health Care, Mobile Apps, Wellness","Headspace is an award-winning digital health platform, providing guided meditation sessions and mindfulness training. With hundreds of hours of content, it is acknowledged as one of the most comprehensive secular programmes for meditation and mindfulness.  The content can be accessed online, or via the Headspace mobile app, used by more than 8 million people, in over 200 countries. The Headspace vision is “to improve the health and happiness of the world” and as part of that commitment, they have partnered with charities, foundations and NGO’s around the world."
Hello Alfred,https://www.crunchbase.com/organization/alfred,"Grocery, Home Services, Hospitality, Laundry and Dry-cleaning, Professional Services, Retail","Named one of the 50 Most Innovative Companies in the World by Fast Company in 2018, Hello Alfred is quickly establishing itself as one of the most disruptive commerce channels around, trusted to deliver services, goods and retail experiences past your door. With more than 1 million home visits to more than 40,000 households in residential buildings across eight cities — from New York, Boston, and Chicago to Los Angeles and San Francisco — they’re building the future of urban living. Hello Alfred was founded in 2014 by Marcela Sapone and Jessica Beck, and has is heaquartered in New York, New York, United States."
High Fidelity,https://www.crunchbase.com/organization/high-fidelity,"Blockchain, Enterprise Software, Hardware, Virtual Reality","They believe that both the hardware and the internet infrastructure are now available to give people around the world access to an interconnected Metaverse that will offer a broad range of capabilities for creativity, education, exploration, and play. And by using all of their computers together in an open shared network, they can simulate this space at a far larger scale than would be possible by any single company or centrally hosted system."
HighQ,https://www.crunchbase.com/organization/highq,"Cloud Data Services, Cloud Security, Collaboration, Document Management, Enterprise Software, Knowledge Management, Legal, Project Management, Software","HighQ provides innovative enterprise collaboration and content management solutions to the world’s leading law firms, banks, governments and corporations.  The company's blue chip client base includes over 40% of the global top 100 law firms and some of the largest global financial institutions.  HighQ combines secure, enterprise-grade technology with an amazing user experience to transform the way businesses collaborate, communicate and share information securely in the cloud. Founded in 2001, HighQ is headquartered in London, with offices in New York, Amsterdam, Frankfurt, Sydney and Ahmedabad."
Healthline Media,https://www.crunchbase.com/organization/healthline,"Consumer, Health Care, Information Services, Information Technology, Medical, Search Engine","Healthline Networks is a provider of health information and technology solutions for publishers, advertisers, employers, healthcare providers, and health plans.  Originally founded as YourDoctor.com in 1999, the company relaunched in 2005 as Healthline Networks and is organized into two business units: Healthline Media and Healthline HIT Solutions.  Healthline Media, together with its flagship Healthline.com and YourDoctor.com, is one of the top ten health information destination properties according comScore. Healthline Media also manages HealthWEB—a network of health publishers that include Yahoo! Health, Drugs.com, and many others. Healthline Media is the 2nd largest and fastest growing consumer health publisher in the world, reaching 85 million people a month.  You can depend on us to provide expert content along with genuine caring. We will support, guide, and inspire you toward the best possible health outcomes for you and your family. Our solid profitability and rapid growth enables us to invest in expanding our reach and offering to have even more impact on many millions more users.  We have offices in San Francisco, New York City, UK, Iceland and Taiwan - and are looking for people who share our vision of a stronger, healthier world!  If you're interested in careers with us, please feel free to email us at: collaborate@healthline.com"
HomeLight,https://www.crunchbase.com/organization/homelight,"Intellectual Property, Marketplace, Real Estate","Founded in 2012, HomeLight is the premier marketplace for finding real estate professionals. Our proprietary algorithm creates unbiased, personalized agent recommendations by analyzing transactional data and licensing records of over two million agents. HomeLight identifies agents with local knowledge and negotiation expertise, helping thousands of homeowners sell their homes faster and for more money. Based in San Francisco and Phoenix and currently operating in over 34 major U.S. markets, HomeLight is a privately held company backed by Zeev Ventures, Menlo Ventures, SGVC, Google Ventures, Crosslink Capital and Innovation Endeavors."
Hyflux,https://www.crunchbase.com/organization/hyflux,"Agriculture, Information Technology",Hyflux Ltd is a fully-integrated water solutions company and among the top global desalination plant providers.
Harness,https://www.crunchbase.com/organization/harness-512d,"Artificial Intelligence, Big Data, Delivery, Developer Tools, Information Technology, SaaS, Software","Harness is the industry’s first Continuous Delivery-as-a-Service platform for engineering and DevOps teams to release applications into production. It automates the entire CD process, uses machine learning to protect you when deployments fail, and equips you with enterprise-grade security every step of the way. CD has never been so simple."
Hello Heart,https://www.crunchbase.com/organization/hello-doctor,"Health Care, Medical, mHealth","Hello Heart is a new category of community health program and consumer experience targeting heart risk using mobile therapeutics. We combine the latest in behavioral and clinical science with a highly contextual mobile experience. It is results-oriented and effectively engages individuals in their health in order to form new habits and achieve positive clinical outcomes over time. In a 4000 user study, 1 in 4 individuals reduced their blood pressure by 20+ pts. and are stable at 12 weeks and counting. That's real cost savings based on real medical improvement."
