Organization Name,Organization Name URL,Categories,Full Description
Health Catalyst,https://www.crunchbase.com/organization/health-catalyst,"Analytics, Computer, Enterprise Software, Health Care, Information Technology, Software","Catalyst is solving healthcare data warehouse issues for some of the nation’s top health systems. With the shift from paper to electronic records,it has become a challenge to organize health data, make sense of it, and to do it quickly. Catalyst helps organize, normalize, and link the data from all your different systems. And they make it searchable by all your users, even the non-technical, by using rich meta data capabilities.  This enables you to use your data for complex operational, financial, clinical, and research reporting requirements—capabilities that give everyone the answers they seek, fast."
Hero,https://www.crunchbase.com/organization/hero-health,Health Care,Hero is the first and only in-home medication manager that intuitively sorts and dispenses medication; has audible and digital reminders; automates refills; and provides real-time as well as historical adherence data at your fingertips.  Hero was founded to be the world's most people-focused healthcare company by creating frictionless solutions to the most challenging problems facing patients and caregivers.
HelloFresh,https://www.crunchbase.com/organization/hellofresh,"Delivery Service, Food and Beverage, Food Delivery, Subscription Service","HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week. It enables anyone to cook quick and healthy meals designed by nutritionists and chefs. HelloFresh aims to provide each and every household in its 10 markets with the opportunity to enjoy wholesome home-cooked meals with no planning, no shopping, and no hassle required.  Their subscription business model with regular delivery enables them to fundamentally change the way consumers shop for food and to develop new ways people prepare and consume meals, changing the traditional food supply chain. HelloFresh is at the forefront of disrupting a multitrillion dollar industry at the very beginning of its online transition."
Headspace,https://www.crunchbase.com/organization/headspace,"Health Care, Mobile Apps, Wellness","Headspace is an award-winning digital health platform, providing guided meditation sessions and mindfulness training. With hundreds of hours of content, it is acknowledged as one of the most comprehensive secular programmes for meditation and mindfulness.  The content can be accessed online, or via the Headspace mobile app, used by more than 8 million people, in over 200 countries. The Headspace vision is “to improve the health and happiness of the world” and as part of that commitment, they have partnered with charities, foundations and NGO’s around the world."
Hello Alfred,https://www.crunchbase.com/organization/alfred,"Grocery, Home Services, Hospitality, Laundry and Dry-cleaning, Professional Services, Retail","Named one of the 50 Most Innovative Companies in the World by Fast Company in 2018, Hello Alfred is quickly establishing itself as one of the most disruptive commerce channels around, trusted to deliver services, goods and retail experiences past your door. With more than 1 million home visits to more than 40,000 households in residential buildings across eight cities — from New York, Boston, and Chicago to Los Angeles and San Francisco — they’re building the future of urban living. Hello Alfred was founded in 2014 by Marcela Sapone and Jessica Beck, and has is heaquartered in New York, New York, United States."
Healthline Media,https://www.crunchbase.com/organization/healthline,"Consumer, Health Care, Information Services, Information Technology, Medical, Search Engine","Healthline Networks is a provider of health information and technology solutions for publishers, advertisers, employers, healthcare providers, and health plans.  Originally founded as YourDoctor.com in 1999, the company relaunched in 2005 as Healthline Networks and is organized into two business units: Healthline Media and Healthline HIT Solutions.  Healthline Media, together with its flagship Healthline.com and YourDoctor.com, is one of the top ten health information destination properties according comScore. Healthline Media also manages HealthWEB—a network of health publishers that include Yahoo! Health, Drugs.com, and many others. Healthline Media is the 2nd largest and fastest growing consumer health publisher in the world, reaching 85 million people a month.  You can depend on us to provide expert content along with genuine caring. We will support, guide, and inspire you toward the best possible health outcomes for you and your family. Our solid profitability and rapid growth enables us to invest in expanding our reach and offering to have even more impact on many millions more users.  We have offices in San Francisco, New York City, UK, Iceland and Taiwan - and are looking for people who share our vision of a stronger, healthier world!  If you're interested in careers with us, please feel free to email us at: collaborate@healthline.com"
Hello Heart,https://www.crunchbase.com/organization/hello-doctor,"Health Care, Medical, mHealth","Hello Heart is a new category of community health program and consumer experience targeting heart risk using mobile therapeutics. We combine the latest in behavioral and clinical science with a highly contextual mobile experience. It is results-oriented and effectively engages individuals in their health in order to form new habits and achieve positive clinical outcomes over time. In a 4000 user study, 1 in 4 individuals reduced their blood pressure by 20+ pts. and are stable at 12 weeks and counting. That's real cost savings based on real medical improvement."
Helix,https://www.crunchbase.com/organization/helix,"Big Data, Biotechnology, Genetics, Health Care, Personal Health, Wellness","Helix is a rapidly growing startup focused on personal genomics.  Helix has a simple but powerful mission: to empower every person to improve their life through DNA. It is creating an ecosystem where people can explore diverse, and uniquely personalized applications provided by high-quality partners. Helix handles sample collection, DNA sequencing, and secure data storage so that its partners can develop on-demand products in areas such as health, fitness, nutrition, lifestyle, genealogy, and inherited traits. Helix is headquartered in the San Francisco Bay Area and operates one of the world’s largest next-generation sequencing laboratories in San Diego."
Headset,https://www.crunchbase.com/organization/headset,"Big Data, Cannabis, Computer, Software","Headset is a data-driven tech company that provides business intelligence platform for the cannabis industry. Their services cover an array of specialized needs that businesses in the industry have, be they growers, extractors, processors, or retailers. The company was born out of a mission to help operators make more informed business decisions through data. It aggregates multiple reporting sources to help analysts, producers, and retailers see opportunities and stay ahead of product trends. Headset was founded in 2015 and is based in Seattle, Washington."
Health Resources and Services Administration,https://www.crunchbase.com/organization/health-resources-and-services-administration,"Association, Government, Health Care, Office Administration","ens of millions of Americans receive quality, affordable health care and other services through HRSA's 90-plus programs and more than 3,000 grantees. The Health Resources and Services Administration (HRSA), an agency of the U.S. Department of Health and Human Services, is the primary Federal agency for improving health and achieving health equity through access to quality services, a skilled health workforce and innovative programs. HRSA's programs provide health care to people who are geographically isolated, economically or medically vulnerable. This includes people living with HIV/AIDS, pregnant women, mothers, and their families and those in need of high quality primary health care. HRSA also supports the training of health professionals, the distribution of providers to areas where they are needed most and improvements in health care delivery."
Helium,https://www.crunchbase.com/organization/helium-systems-inc,"Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless",Helium is building the world’s first peer-to-peer wireless network to simplify connecting anything to the internet by rewarding anyone to become a network operator.
HeartFlow,https://www.crunchbase.com/organization/heartflow,"Biotechnology, Emergency Medicine, Health Care, Health Diagnostics, Medical","HeartFlow is a medical technology company that provides new methods of diagnosis and treatment of cardiovascular disease. It offers HeartFlow Analysis, a non-invasive solution  available in the United States, Europe, and Japan that helps a physician evaluate whether a patient has significant coronary artery disease based on anatomy and physiology.  Christopher K. Zarins and Charles Anthony Taylor founded Cardiovascular Simulation in 2007 that became HeartFlow in May 2009. Its headquarters is in Redwood City in California."
HealthEngine,https://www.crunchbase.com/organization/healthengine,"Health Care, Marketplace, Medical, SaaS, Scheduling, Software","Launched in 2006, HealthEngine is changing the way that patients access healthcare in Australia. Its world-class platform helps patients navigate Australia’s complex health system, while providing practitioners with technology to improve the patient experience. The platform is accessed via website or smartphone app by over a million Australians every month. This has resulted in millions of appointments a year with doctors, dentists, physios, and more."
HERO®,https://www.crunchbase.com/organization/hero-2,"E-Commerce, Retail, Software",Find out more at www.usehero.com
Health-Ade,https://www.crunchbase.com/organization/health-ade,"Food and Beverage, Health Care, Medical","Kombucha is made via primary and secondary fermentation, the process that transforms sweet tea into kombucha and significantly reduces the sugar content.Financing the new brewery will be important, Oza adds, because Health-Ade currently is unable to make enough kombucha to satisfy demand. He estimates that the company could be selling five times more product, if only it could brew it."
HealthTap,https://www.crunchbase.com/organization/healthtap,"Health Care, Internet, Medical","HealthTap is rewiring healthcare. By delivering universal access to quality, primary healthcare, HealthTap improves the experience for both patients and doctors while saving time and reducing costs for all. HealthTap’s doctor-trained, augmented intelligence system guides users to the care they need and enables an instant connection to doctors and their knowledge. HealthTap serves its app to employers, insurance companies, health systems, and users around the world. More than 100,000 doctors and hundreds of millions of users in 170 countries trust HealthTap for instant access to healthcare — anytime, anywhere."
Hedera Hashgraph,https://www.crunchbase.com/organization/hashgraph,"Blockchain, Computer, Network Security","The Hedera hashgraph platform will offer a distributed public ledger that enables anyone to easily develop globally decentralized applications. Developers can build secure, fair, blazing-fast decentralized applications on top of the Hedera hashgraph platform."
Helpshift,https://www.crunchbase.com/organization/helpshift-inc,"CRM, Customer Service, Internet, Mobile, SaaS","Helpshift bridges the disconnect between conventional customer service channels—like email and phone support—and a growing consumer base that does more on mobile phones and has a strong preference for messaging as the primary mode of communication. Through Helpshift’s AI-powered support platform, companies can resolve issues more efficiently, boosting customer satisfaction in the process. Companies such as Xfinity Home, Microsoft, Virgin Media, Zynga, Viacom, and hundreds of other leading brands use the Helpshift platform to provide messaging-first customer support. Helpshift is installed on two billion devices worldwide and serves more than 820 million active consumers monthly. To learn more about Helpshift, visit helpshift.com and follow @helpshift on Twitter. Helpshift is headquartered in San Francisco and backed by True Ventures, Microsoft, Salesforce, and Nexus Venture Partners."
