Organization Name,Organization Name URL,Categories,Full Description
Capital One,https://www.crunchbase.com/organization/capital-one,"Banking, Credit Cards, Finance, Financial Services","Capital One Financial Corporation, incorporated in July 21, 1994, is a diversified banking company focused primarily on consumer and commercial lending and deposit origination.  Its principal business segments are Local Banking and National Lending. Local Banking includes consumer, small business and commercial deposits, and lending conducted within its branch network. The National Lending segment consists of three sub-segments: - The U.S. Card sub-segment, which consists of domestic consumer credit and debit card activities; - The Auto Finance sub-segment, which includes automobile and other motor vehicle financing activities, - The Global Financial Services sub-segment consisting of international lending activities, small business lending, installment loans, home loans, healthcare financing and other diversified activities."
Carro,https://www.crunchbase.com/organization/carro,"Automotive, Direct Sales, E-Commerce, E-Commerce Platforms, Marketplace","Carro is an automotive marketplace that offers a full-stack service for all aspects of car ownership. By offering a trustworthy and transparent experience, Carro challenges the traditional way of buying and selling of cars through a proprietary pricing algorithm. Carro also provides a range of services that offer everything a car owner needs throughout their car ownership journeys such as an in-house financing solution warranty options and Singapore’s first on-demand roadside recovery platform. Founded in 2015, Carro started its regional expansion into Thailand and Indonesia in 2017 and is well on its way to becoming Southeast Asia’s largest automotive marketplace, facilitating over US$350 million worth of transactions in two years. In June 2018, Carro has raised a total of US$75 million led by notable venture funds such as SoftBank Ventures, Insignia Ventures Partners and B Capital Group. Looking forward, Carro will continue to revolutionize the automotive industry and empower our customers to make the right decisions."
Careem,https://www.crunchbase.com/organization/careem,"Customer Service, Logistics, Public Transportation, Ride Sharing, Transportation","Careem designs an online booking platform that connects passengers with local drivers. Its platform offers a marketplace of community drivers where passengers can request a ride in minutes, see the cost, and have it charged to their selected credit card, which helps passengers have access to affordable and advantageous transportation.  Abdulla Elyas, Magnus Olsson, and Mudassir Sheika founded Careem on June 15, 2012, with its headquarters in Dubai in the United Arab Emirates."
Cambridge Analytica,https://www.crunchbase.com/organization/cambridge-analytica,"Analytics, Data Mining, Information Technology","Cambridge Analytica uses data to change audience behavior.  Cambridge Analytica understand that every customer, every cause, and every campaign is unique. That's why They help you connect with every member of your audience on an individual level in ways that engage, inform and drive them to action. They bring together 25 years' experience in behavioral change, pioneering data science, and cutting-edge technology to offer unparalleled audience insight and engagement services and products."
Casper,https://www.crunchbase.com/organization/casper,"E-Commerce, Lifestyle, Manufacturing, Product Design, Retail","Casper is a sleep startup that launches a comfortable mattress sold directly to consumers, eliminating commission ­driven, inflated prices. Casper's mattresses are developed in-house by a team of product engineers with experience from IDEO.  The company is one of the fastest growing consumer brands of all time, and its product line has increased to include sheets, pillows, a matching foundation, and a dog mattress."
Canary,https://www.crunchbase.com/organization/canary,"Crowdfunding, Hardware, Security, Smart Home","Canary is a New York City-based technology startup with a mission to make people safer and more connected to their homes. Founded by experts with experience in security, robotics, software and design, Canary is focused on the development of its eponymous first product -- an affordable, easy to set up and smart security solution available to everyone, whether they rent or own."
Capsule8,https://www.crunchbase.com/organization/capsule8,"Information Services, Information Technology, Linux, Security","Founded in fall 2016 and headquartered in Brooklyn, NY, Capsule8 is developing the industry’s first and only real-time, zero-day attack detection platform purpose-built for modern production environments. Founded by experienced hackers and seasoned security entrepreneurs, and funded by Bessemer Venture Partners and ClearSky, Capsule8 is making it possible for Linux-powered enterprises to modernize without compromise."
Cameo,https://www.crunchbase.com/organization/cameo-3,"Gift, Marketplace, Social Media",Cameo is a marketplace where fans can book personalized video shoutouts from their favorite people. Cameo's mission is to create the most personalized and authentic fan experiences in the world. We're a marketplace where users can book personalized video shoutouts from their favorite people. We currently partner with thousands of talent across all verticals. Cameo’s offices are in 1871 and we are proud to be part of Chicago’s thriving technology and startup community.
Capital Float,https://www.crunchbase.com/organization/capital-float,"Financial Services, FinTech, Small and Medium Businesses","Capital Float is an online platform that provides working capital finance to SMEs in India. We offer flexible, short-term loans that can be used to purchase inventory, service new orders or optimize cash cycles. Borrowers can apply online in minutes, select desired repayment terms and receive funds in their bank accounts in 7 days with minimal hassle."
Capsule,https://www.crunchbase.com/organization/capsule-3,"E-Commerce, E-Commerce Platforms, Health Care, Pharmaceutical, Retail, Software","Capsule is rebuilding the $425 billion pharmacy industry from the inside out with an emotionally resonant experience, and technology that enables customized outcomes for doctors, hospitals, insurers, and manufacturers. Our team makes the same promise to each other as the one we’ve made to our customers, doctors, and partners: everybody needs some looking after sometimes. We’ll never lose sight of the fact that behind all the craziness of the healthcare system, we’re just people looking after other people. Capsule has raised $70 million from Thrive Capital, Glade Brook Capital, and The Virgin Group."
