Organization Name,Organization Name URL,Categories,Full Description
Paytm,https://www.crunchbase.com/organization/paytm,"E-Commerce, Finance, Internet, Marketplace, Mobile Apps, Mobile Payments","Paytm is the consumer brand of India’s leading mobile internet company [One97 Communications.](https://www.crunchbase.com/organization/one97-communications#/entity) Paytm is India’s largest mobile commerce platform. Paytm started by offering mobile recharge and utility bill payments and today it offers a full marketplace to consumers on its mobile apps. Paytm has over 20mn registered users. In a short span of time Paytm has scaled to more than 15 Million orders per month. Paytm is the consumer brand of India’s leading mobile internet company One97 Communications. One97 investors include SAIF Partners, Intel Capital, and SAP Ventures. Paytm strives to maintain an open culture where everyone is a hands-on contributor and feels comfortable sharing ideas and opinions. Paytm's team spends hours designing each new feature and obsesses about the smallest of details. Paytm's approach is simple – to design something we’d LOVE to use ourselves. Therefore, we listen and take the time to understand our users and take their reactions most seriously. Making stuff easy and intuitive is not our only goal. In addition to usability, we strive to create accessibility, convenience, and credibility. Simplicity reflects on our home page design and this mantra has been followed throughout the site and our apps. The world is increasingly mobile: people want access from wherever they are, whenever they need it. At Paytm, you have the option of recharging and shopping from whenever, anywhere and are equipped with a secure online wallet called Paytm Cash. At team Paytm, we set high goals and achieve them. And it’s all to provide YOU, the user, an experience that’s nothing short of awesome."
Patreon,https://www.crunchbase.com/organization/patreon,"Media and Entertainment, Music, Podcast, Sponsorship, Video","Patreon is a membership platform that makes it easy for artists and creators to get paid. It operates a platform that enables content creators, as well as artists, to be able to fund their work. It's Patreon.com, a communications platform,  enables connection between users and makes various accessible content, including videos, photographs, images, artwork, graphics, audio clips, comments, data, text, software, scripts, projects, other material and information, and associated trademarks and copyrightable works. Patrons pledge to support artists and creators on a recurring basis for each work created, empowering a new generation of creators the ability to make a living off of their passions."
Pavilion Data Systems,https://www.crunchbase.com/organization/pavilion-data,"Data Center, Data Visualization, Database","Pavilion Data Systems brings together experienced technology professionals with expertise in storage system architecture, network switch design, dense micro-server architectures, and solid state storage technology to deliver a ground-breaking storage system design that is purpose-built to take advantage of memory-class media available both today and in the future. Early on, Pavilion realized that that the only data center devices that can process data at a terabit per second were the network switching devices.  As a result, Pavilion decided to design a storage system by borrowing architectural and design patterns from the network switch world. This has resulted in the first non-volatile memory-based storage array that is designed like a network switch. The Pavilion Memory Array is the only enterprise-class storage system leveraging a dense parallel processing architecture with built-in enterprise data management features, that delivers record-breaking performance and density, all while leveraging industry-standard hardware components wherever possible to deliver unprecedented value."
PaySend,https://www.crunchbase.com/organization/paysend,"Finance, Financial Services, FinTech, Mobile Payments, Payments","PaySend is a financial technology platform that solves the universal problem to securely enable any bank card (Visa or MasterCard) to send and receive money worldwide. It is a next generation money transfer platform allowing its users to send funds from card to card from 40 to over 60 countries. PaySend is a trading name of PaySend plc, registered in Scotland, United Kingdom. Company number 376020. Founded in 2015, the company is headquartered in London, England, United Kingdom. "
Partners Group,https://www.crunchbase.com/organization/partners-group,"Finance, Financial Services, Venture Capital","Partners Group are a unique, global alternative asset manager with strong Swiss roots, proactively providing their international client base with innovative, customized solutions. With CHF 19.2 billion in private equity assets under management, a global team of over 130 private equity professionals in seven offices and over 300 partnership investments led by over 200 general partners, Partners Group is one of the largest private equity asset managers worldwide."
Packet,https://www.crunchbase.com/organization/packet-host,"Cloud Computing, Cloud Infrastructure, Developer Platform, Information Services, SaaS, Web Hosting","Packet is the leading bare metal automation platform for developers. Its proprietary technology automates physical servers and networks without the use of virtualization or multi-tenancy, powering over 60k deploys each month across 18+ global datacenters, as well as dozens of private and on-premise locations. Founded in 2014, Packet has quickly become a provider of choice for leading enterprises, SaaS companies, and software innovators. In addition to its bare metal public cloud, Packet offers a custom “Private Deployment” model for hosted private infrastructure, and a fully on-premise solution that automates infrastructure in customer-owned locations. Packet is a proud member of the Open19 Foundation, as well as the Cloud Native Computing Foundation (CNCF), where it donates and manages the CNCF Community Infrastructure Lab. Additionally, the company supports many open source projects, including Memcached.org, NixOS, OpenFaas, Wireguard, Docker and Kernel.org."
PagerDuty,https://www.crunchbase.com/organization/pagerduty,"Cloud Computing, Information Technology, IT Management, SaaS","PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle. Their SaaS-based solution empowers over 10,000 small, mid-size and enterprise global customers such as Comcast, eHarmony, Slack and Lululemon with the insight to intelligently respond to critical disruptions for exceptional customer experience. PagerDuty was founded to deliver a new and innovative approach to increase business response and efficiency. When brand reputation depends on customer satisfaction, PagerDuty arms businesses with the insight to proactively manage incidents and events that may impact customers across their IT environment."
PathAI,https://www.crunchbase.com/organization/pathai,"Health Care, Health Diagnostics, Machine Learning","PathAI’s services solve the most challenging pathology problems faced by the research and pharmaceutical industry. The PathAI platform provides end-to-end automation for reliable, scalable, and cost-effective long-term solutions. Their solutions make discovery scalable. Their team will work with you to solve your most critical pathology analysis problems."
Payoneer,https://www.crunchbase.com/organization/payoneer,"B2B, E-Commerce, Finance, FinTech, Internet, Mobile, Payments","Payoneer empowers global commerce by connecting businesses, professionals, countries and currencies with its innovative cross-border payments platform. In today's borderless digital world, Payoneer enables millions of businesses and professionals from more than 200 countries to reach new audiences by facilitating seamless, cross-border payments. Additionally, thousands of leading corporations including Google, Airbnb, Elance-oDesk and Getty Images rely on Payoneer's mass payout services. With Payoneer's fast, flexible, secure and low-cost solutions, businesses and professionals in both developed and emerging markets can now pay and get paid globally as easily as they do locally. Founded in 2005 and based in New York, Payoneer is venture-backed, profitable and ranked in the top 100 of Inc. 5000's Financial Services companies."
Pathstream,https://www.crunchbase.com/organization/pathstream,"Corporate Training, E-Learning, Training","Pathstream is a web-based platform for teaching in-demand tech skills for work. Pathstream partners with industry-leading tech companies and higher education institutions to transform digital skills learning. The company's platform allows students to immediately access pre-configured, project based instruction, realistic workplace simulations, and on-demand coaching."
