Organization Name,Organization Name URL,Categories,Full Description
Facebook,https://www.crunchbase.com/organization/facebook,"Messaging, Mobile, Mobile Apps, Social, Social Media, Social Network","Facebook is an online social networking service that allows its users to connect with friends and family as well as make new connections. It provides its users with the ability to create a profile, update information, add images, send friend requests, and accept requests from other users. Its features include status update, photo tagging and sharing, and more. Facebook’s profile structure includes a timeline, information related to the user, images of the user, images added by friends of the user, notes, pages, groups, and more. It enables its users to create pages related to entertainment, sports, business, finance, preferences, hobbies, culture, religion, causes, organizations, and a number of other categories. It also enables its users to join or create groups related to a vast number of categories. With millions of more users, [Friendster](http://www.crunchbase.com/organization/friendster) attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners](http://www.crunchbase.com/organization/accel-partners) at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners](http://www.crunchbase.com/organization/greylock) and [Meritech Capital](http://www.crunchbase.com/organization/meritech-capital-partners) as well as previous investors [Accel Partners](http://www.crunchbase.com/organization/accel-partners) and [Peter Thiel](http://www.crunchbase.com/person/peter-thiel). The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally in September 2006, Facebook was opened to anyone with an email address. Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ](http://www.crunchbase.com/organization/nasdaq-private-market) with shares trading at $42.05. Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo sharing site with 250 million photos uploaded per day. The company has strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere. Facebook is currently the owner of many applications and services such as Pagemodo Pagebuilder, [RSS Graffiti](http://www.crunchbase.com/organization/rss-graffiti), Huddle, and more. It is the world’s largest social network with over 1.32 billion monthly active users. Facebook was founded by Mark Zuckerberg on February 4, 2004 in Menlo Park, California."
FreightWaves,https://www.crunchbase.com/organization/freightwaves,"Analytics, Artificial Intelligence, Financial Services, Freight Service, Logistics, Marketplace, Predictive Analytics, Railroad, SaaS, Transportation","FreightWaves is a SaaS provider of data for the  North American freight market. FreightWaves was founded to provide transparency and risk-management products to the freight markets. As the leading provider of aggregated data-sets across the North American freight markets, FreightWaves' SaaS platform helps companies take action based on the signals in the market. FreightWaves.com is the highest rank news and commentary site in the industry and the firm is introducing a freight futures product which will help participants derisk their exposure to trucking spot rates. "
Farfetch,https://www.crunchbase.com/organization/farfetch,"E-Commerce, Fashion, Internet, Retail","Farfetch operates an e-commerce website that unites various independent fashion boutiques. It offers bags, coats, dresses, jackets, jewellery, swimwear, trouser, shoes, knitwear, suits, shorts, and accessories.  They operate a modular end-to-end technology platform purpose built to connect the luxury fashion ecosystem worldwide. Their vision was to create a single operating system that could address the complex demands of consumers and luxury sellers alike. Their platform is built on an API-enabled proprietary technology stack, which provides the foundation for the three main components: applications, services and data.  Farfetch serves women, men, and kids. Jose Neves founded the company in 2008, with its headquarters in London, United Kingdom."
Flipkart,https://www.crunchbase.com/organization/flipkart,"E-Commerce, Grocery, Internet, Retail, Shopping","Flipkart owns and operates an online shopping website in India. It provides books, movies, music, games, consoles, gaming accessories, mobiles, mobile accessories, cameras, camera accessories, computers, computer accessories, network components, software, peripherals, home and kitchen appliances, TV and video products, and personal and health care products.  Binny and Sachin Bansal founded Flipkart in 2007, with headquarters in Bengaluru in India. In 2018 the company was acquired by giant retail corporation, [Walmart](/organization/walmart)."
Fitbit,https://www.crunchbase.com/organization/fitbit,"Cloud Computing, Fitness, Health Care, Personal Health, Wearables","Fitbit inspires people to exercise more, eat better and live healthier lifestyles.  The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance. The Fitbit Tracker collects activity data automatically while it is worn by the user all day. The collected data is wirelessly uploaded to a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and co-workers. At the website, users can also manually log nutrition, weight and other health information in order to gain a complete picture of their health. Fitbit makes it easy to achieve a healthy lifestyle by automating the collection of health data and providing a motivating and entertaining user interface."
FreshBooks,https://www.crunchbase.com/organization/freshbooks,"Accounting, Billing, FinTech, Payments, Small and Medium Businesses","FreshBooks is the #1 accounting software in the cloud designed exclusively for service-based small business owners and independent professionals. The company has helped more than 10 million people worldwide process billions of dollars with its ridiculously easy-to-use invoicing, time tracking, expense management features. Recognized with eight Stevie awards for best customer service in the world, the company’s mantra is to “execute extraordinary experiences everyday.” Based in Toronto, Canada, FreshBooks serves paying customers in 160 countries."
Flytrex,https://www.crunchbase.com/organization/flytrex,"Delivery, Delivery Service, Drones, Food Delivery, Robotics, Same Day Delivery, Software","The Drone Delivery Pioneers. Offering a delivery solution simpler, faster, cheaper and greener than ever before.  Whether you're a drone operator seeking to expand, logistic service, or, setting up a new business, Flytrex provides everything you need to start delivering with drones easily and affordably!   Currently operating in Iceland and the U.S. (as part of the FAA drone pilot program). Amit Regev and Yariv Bash founded it on November 1, 2013, with its headquarters in Tel Aviv in Israel."
FireEye,https://www.crunchbase.com/organization/fireeye,"Cloud Security, Cyber Security, Network Security","FireEye is the only cyber security company that combines the automation of technology with unparalleled frontline human expertise, including industry-recognized services and nation-state grade threat intelligence. On the front lines of cyber attacks every day, FireEye has unrivaled real-time knowledge of the global threat landscape spanning more than two decades, gathered by hundreds of highly experienced threat researchers, platform engineers, malware analysts, intelligence analysts, and investigators, as well as a global network of best-in-class business partners. This unique understanding of how organizations combat cyber attacks guides the products FireEye builds. Working as a seamless, scalable extension of customer security operations, FireEye offers a unified platform called Helix that integrates and analyzes the data from security assets to offer real answers about the threats that matter. With innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant consultants, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, respond to, and remediate cyber attacks."
Flatfair,https://www.crunchbase.com/organization/flatfair,"FinTech, Real Estate, Rental Property, Software","Flatfair is the fastest growing deposit alternative in the UK, already available in hundreds of letting branches across the country (e.g. through the Spicerhaart network). With Flatfair, landlords can offer tenants the option to pay an affordable membership fee instead of an expensive tenancy deposit. In exchange, Flatfair landlords get up to double the protection compared to a deposit (up to 12 weeks worth of rent) and benefit from fewer voids. Flatfair's technology takes away the hassle of managing deposits - from registration, change of sharer to checkout - and pays its partnered letting agents a commission for bringing on new tenants."
Fever,https://www.crunchbase.com/organization/fever-3,"Android, Internet, iOS, Mobile, Social Media, Ticketing","Fever is a mobile app and social discovery tool that provides a curated and personalized list of local events based on user preferences. Backed by a team of Rockstar Investors and Advisors, the app gives you the ability to RSVP and purchase same-day tickets to events or buy tickets in advance. The company is headquartered in New York, New York, United States."
