Organization Name,Organization Name URL,Categories,Description,Full Description
DataRobot,https://www.crunchbase.com/organization/datarobot,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, Predictive Analytics, SaaS",DataRobot is an automated machine learning platform making it easy to build and deploy accurate predictive models.,"DataRobot offers a machine learning platform for data scientists of all skill levels to build and deploy accurate predictive models in a fraction of the time it used to take. The technology addresses the critical shortage of data scientists by changing the speed and economics of predictive analytics.   The DataRobot platform uses massively parallel processing to train and evaluate 1000's of models in R, Python, Spark MLlib, H2O and other open source libraries. It searches through millions of possible combinations of algorithms, pre-processing steps, features, transformations and tuning parameters to deliver the best models for your dataset and prediction target."
Databricks,https://www.crunchbase.com/organization/databricks,"Analytics, Enterprise Software, Information Technology, Open Source, Software","Databricks accelerates innovation by unifying analytics across data science, data engineering, and the business.","Databricks’ mission is to accelerate innovation for its customers by unifying Data Science, Engineering and Business. Founded by the team who created Apache Spark™, Databricks provides a Unified Analytics Platform for data science teams to collaborate with data engineering and lines of business to build data products. Users achieve faster time-to-value with Databricks by creating analytic workflows that go from ETL and interactive exploration to production. The company also makes it easier for its users to focus on their data by providing a fully managed, scalable, and secure cloud infrastructure that reduces operational complexity and total cost of ownership. Databricks, venture-backed by Andreessen Horowitz and NEA, has a global customer base that includes Salesforce, Viacom, Amgen, Shell, and HP.  For more information, visit www.databricks.com."
Dailyhunt,https://www.crunchbase.com/organization/newshunt,"Information Technology, Mobile, News, Operating Systems, Social Media, Social News",DailyHunt develops mobile application software.,"DailyHunt develops mobile application software. It offers online news, books, and magazines.  DailyHunt serves customers in India. Virendra Gupta founded it in 2009, with its headquarters in Bangalore in India."
Daedalean AG,https://www.crunchbase.com/organization/daedalean-ag,"Aerospace, Air Transportation, Artificial Intelligence, Autonomous Vehicles, Computer Vision, Machine Learning, Software",Autonomous flight control for the electric personal aircraft of the near future,"Daedalean is a Zürich-based startup, and our mission is to build a certified airworthy autopilot that can also pass the exams for human pilots."
Dashlane,https://www.crunchbase.com/organization/dashlane,"Cloud Computing, Identity Management, Payments, Privacy, Security, Software","Dashlane is a password manager and digital wallet, designed to make identity and payment simple and secure.","Dashlane is a password manager and digital wallet, designed to make identity and payment simple and secure. Dashlane's password manager helps you simplify and secure your digital identity—all your personal information that lives online. Available across all platforms and devices, the intuitive Dashlane app automatically fills and stores passwords, personal data, and payment details with its patented security architecture. Available in 11 languages and trusted by 10+ million people in 180 countries (and growing), it's the complete, global solution for living safely and seamlessly online—at home, at work, and everywhere in between. With offices in New York City, Paris, and Lisbon, Dashlane has raised over $70 million in venture funding to create a safe and effortless solution for all citizens of the digital world. Learn more at dashlane.com."
Dadi,https://www.crunchbase.com/organization/dadi-0964,"Fertility, Health Diagnostics, Personal Health","Dadi offers sperm storage, male fertility report, and at-home collection kit.","Dadi offers sperm storage, male fertility report, and at-home collection kit. Dadi is reimagining male fertility by providing a modern, accessible option directly to men. No clinics, no unnecessary costs, just $99 for the kit and fertility report then $99 a year for storage."
Datrium,https://www.crunchbase.com/organization/datrium,"Data Storage, Enterprise Software, IaaS",Datrium is a unified hybrid cloud computing and data management company.,"Datrium is the leader in tier 1 hyperconverged infrastructure (HCI) for hybrid clouds. Datrium converges tier 1 HCI, scale-out backup and cloud disaster recovery for vastly simpler administration, protection of hybrid cloud infrastructure, and higher IO performance than available with traditional HCI alternatives. Founded in 2012, Datrium is headquartered in Sunnyvale, California, United States."
DataGrail,https://www.crunchbase.com/organization/datagrail,"Big Data, Compliance, Legal, Marketing, Marketing Automation, Privacy, Security","DataGrail is a purpose-built privacy management platform that ensures sustained compliance with the GDPR, CCPA, and more.","DataGrail is a purpose-built privacy management platform that ensures sustained compliance with the GDPR, CCPA, and more. DataGrail directly integrates with more than 100 business systems, such as Salesforce, Adobe, and Oracle, enabling companies to discover and map personal data in seconds not weeks or even months. DataGrail's direct integrations allow companies to operationalize the privacy request workflow in minutes and unify email preferences across all customer facing applications. DataGrai is based in San Francisco, California and was founded in 2018 by Daniel Barber, Ignacio Zendejas, and Earl Hathaway."
Dapper Labs,https://www.crunchbase.com/organization/dapper-labs,"Blockchain, Gaming",Dapper Labs is the serious business of fun and games on the blockchain,Dapper Labs uses the power of play to deliver blockchain-based experiences that are made for you and ready for the real world.
Dave Inc.,https://www.crunchbase.com/organization/dave-com,"Artificial Intelligence, FinTech, Internet",Banking for Humans™,"Dave is a leading challenger bank in the US, reinventing budgeting, overdraft, income creation and credit building for millions of Americans. Dave is Banking for Humans™"
