Organization Name,Organization Name URL,Categories,Description,Full Description
Rappi,https://www.crunchbase.com/organization/rappi,"Food Delivery, Grocery, Marketplace, Restaurants","Rappi is a mega high growth, Series E, consumer tech startup looking to be the everything store of Latin America.","Rappi is a mega high growth, Series C, consumer tech startup looking to be the everything store of Latin America. They are a marketplace that connects users who want to purchase prepared foods, groceries, clothes, and virtually anything with independent contractors who can fulfill those needs."
Raisin,https://www.crunchbase.com/organization/raisin-weltsparen,"Banking, Finance, Financial Services, FinTech, Marketplace",Raisin is a savings and investment marketplace that connects retail customers with banks looking to expand deposit reach.,"Raisin is a savings and investment marketplace that connects retail customers with banks looking to expand deposit reach. The company's goal is to provide savers the best interest rates. The company gives access to exclusive savings products from all over Europe. Raisin assures a smooth investment process and the simple management of investments with all of the partner banks via one single platform. Raisin was founded on 2012 and is headquartered in Berlin, Germany."
Radius Networks,https://www.crunchbase.com/organization/radius-networks,"Hardware, Information Technology, Software",Radius Networks is the leading provider of mobile proximity technologies used by app developers .,"Radius Networks is the leading provider of mobile proximity technologies used by app developers, major retailers, restaurant chains, sports complexes and other brick-and-mortar operators to generate customer traffic analytics and drive innovative customer engagements. Their technologies leverage the wireless signals of mobile devices, such as WiFi, Bluetooth and GPS, to detect when visitors are in close proximity to important points-of-interest and use this information to provide a better understanding of customer shopping patterns and behaviors and to enable customer engagement in more meaningful and relevant ways."
Raytheon,https://www.crunchbase.com/organization/raytheon,"Aerospace, National Security, Security","Raytheon is a defense contractor and corporation with manufacturing concentrations in weapons, military, and commercial electronics.","Raytheon is a technology and innovation leader specializing in defense, homeland security and other government markets throughout the world. With a history of innovation spanning 87 years, Raytheon provides state-of-the-art electronics, mission systems integration and other capabilities in the areas of sensing; effects; and command, control, communications and intelligence systems, as well as a broad range of mission support services."
Rancher Labs,https://www.crunchbase.com/organization/rancher-labs,"Cloud Computing, Information Technology, Software",A complete open source container management platform with everything you need to manage containers in production.,"At Rancher Labs we love containers, and love the experience they bring to developers. We love their portability, ease-of-use, and rich ecosystem support. We believe that Kubernetes is on the verge of turning from developer’s favorite tool to the de-facto large-scale production platform. So we have built tools that help organizations run their applications and services on herds of containers that can roam across Kubernetes clusters and clouds. Rancher is a complete container management platform that includes everything you need to manage containers in production. You can quickly deploy multiple Kubernetes clusters across multiple clouds with the click of a button."
Rapido Bike Taxi,https://www.crunchbase.com/organization/rapido,"Information Services, Mobile Apps, Public Transportation, Software, Taxi Service, Transportation",India's largest Bike,"Rapido is basically a platform where people can book a bike ride through a mobile app while traveling solo. With the traffic situation exceptionally pathetic especially during peak hours, zipping past in a two-wheeler saves a lot of time. What’s more is that it also provides an opportunity for people with a two-wheeler along with the license to become a rider on the platform and earn some extra money. Rapido is committed to create a viable commute option for an urban city dweller, keeping technology at the forefront.  Rapido was founded on 2015 and is headquartered in Bengaluru, India."
Radiology Partners,https://www.crunchbase.com/organization/radiology-partners,"Health Care, Health Diagnostics, Hospital",Radiology Partners is a healthcare service company focused on transforming how services are provided by radiologists.,"Radiology Partners is a healthcare service company. It is focused on transforming how radiologists provide services for hospitals, referring physicians, and patients.   Radiology Partners was established in 2012 and is based in Manhattan Beach, California."
Rambus,https://www.crunchbase.com/organization/rambus,"Architecture, Lighting, Semiconductor","Rambus designs, develops and licenses chip interface technologies and architectures that are used in digital electronics products.","Rambus Inc. designs, develops, and licenses chip interface technologies and architectures that are used in digital electronics products. Its products include Fully Synchronous DRAM, which is designed to allow precise timing from a DRAM system; Dual Edge Clocking that is designed to allow data to be sent on the clock pulse; Variable Burst Length, which is designed to improve data transfer efficiency by allowing varying amounts of data to be sent per a memory read or write request in DRAMs and flash memory; FlexPhase technology that synchronizes data output and compensates for circuit timing errors; and Channel Equalization, which is designed to improve signal integrity and system margins by reducing inter-symbol interference in high speed parallel and serial link channels. The company also licenses its leadership architectures and chip interfaces for use in semiconductor and system products, including XDR Memory Architecture, which enables the production of DRAM; XDR2 Memory Architecture that includes DRAM micro-threading for graphics intensive applications, such as gaming and digital video; RDRAM Memory, which is used in play stations, Intel-based personal computers, televisions, and routers; and FlexIO processor bus, a high speed chip-to-chip interface, as well as provides digital logic controllers for PCI Express, DDRx memory, and other interfaces. Its products are used in computing, gaming and graphics, and consumer electronics applications, as well as in personal computers, servers, printers, video projectors, game consoles, digital TVs, set-top boxes, and mobile phones. Rambus Inc. was founded in 1990 and is headquartered in Los Altos, California."
Rakuten Medical,https://www.crunchbase.com/organization/aspyrian-therapeutics,"Biotechnology, Medical, Therapeutics","Rakuten Medical, Inc., is a privately funded clinical stage biotechnology company.","Rakuten Medical, Inc., is a privately funded clinical stage biotechnology company with offices in the USA, Japan and Germany. Since 2013, Rakuten Medical has been developing new anticancer therapies based on the Photoimmunotherapy platform. Rakuten Medical plans to become a fully integrated biopharma with research, development, and world-wide commercialization of therapies based on the Photoimmunotherapy platform."
Rapyd,https://www.crunchbase.com/organization/rapyd,"Finance, Financial Services, Mobile Payments","Rapyd created the world’s leading cardless financial network, backed by some of the most innovative technology in the industry.","Rapyd is the mobile-first financial network that makes the world’s favorite ways to pay and be paid instantly available through a single API and SDK. Through their scalable platform and API they are bringing together local financial specialists from every corner of the world to make the 100s of ways people pay available around the world, so that eCommerce merchants, gig platforms, challenger wallets, remittance platforms, online lenders, and even traditional banks can break free of their old infrastructure and limitations and create new mobile-friendly solutions to make payments faster, smarter, accessible and convenient to all. Their Platform includes turnkey compliance and risk engine to meet all regulatory requirements."
