Organization Name,Organization Name URL,Categories,Description,Full Description
Facebook,https://www.crunchbase.com/organization/facebook,"Messaging, Mobile, Mobile Apps, Social, Social Media, Social Network",Facebook is an online social networking service that enables its users to connect with friends and family.,"Facebook is an online social networking service that allows its users to connect with friends and family as well as make new connections. It provides its users with the ability to create a profile, update information, add images, send friend requests, and accept requests from other users. Its features include status update, photo tagging and sharing, and more. Facebook’s profile structure includes a timeline, information related to the user, images of the user, images added by friends of the user, notes, pages, groups, and more. It enables its users to create pages related to entertainment, sports, business, finance, preferences, hobbies, culture, religion, causes, organizations, and a number of other categories. It also enables its users to join or create groups related to a vast number of categories. With millions of more users, [Friendster](http://www.crunchbase.com/organization/friendster) attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners](http://www.crunchbase.com/organization/accel-partners) at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners](http://www.crunchbase.com/organization/greylock) and [Meritech Capital](http://www.crunchbase.com/organization/meritech-capital-partners) as well as previous investors [Accel Partners](http://www.crunchbase.com/organization/accel-partners) and [Peter Thiel](http://www.crunchbase.com/person/peter-thiel). The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally in September 2006, Facebook was opened to anyone with an email address. Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ](http://www.crunchbase.com/organization/nasdaq-private-market) with shares trading at $42.05. Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo sharing site with 250 million photos uploaded per day. The company has strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere. Facebook is currently the owner of many applications and services such as Pagemodo Pagebuilder, [RSS Graffiti](http://www.crunchbase.com/organization/rss-graffiti), Huddle, and more. It is the world’s largest social network with over 1.32 billion monthly active users. Facebook was founded by Mark Zuckerberg on February 4, 2004 in Menlo Park, California."
Farfetch,https://www.crunchbase.com/organization/farfetch,"E-Commerce, Fashion, Internet, Retail",Farfetch is an online luxury fashion retail platform.,"Farfetch operates an e-commerce website that unites various independent fashion boutiques. It offers bags, coats, dresses, jackets, jewellery, swimwear, trouser, shoes, knitwear, suits, shorts, and accessories.  They operate a modular end-to-end technology platform purpose built to connect the luxury fashion ecosystem worldwide. Their vision was to create a single operating system that could address the complex demands of consumers and luxury sellers alike. Their platform is built on an API-enabled proprietary technology stack, which provides the foundation for the three main components: applications, services and data.  Farfetch serves women, men, and kids. Jose Neves founded the company in 2008, with its headquarters in London, United Kingdom."
FanDuel,https://www.crunchbase.com/organization/fanduel,"Fantasy Sports, Gaming, Sports",FanDuel offers fantasy sports with daily games for real money.,"FanDuel, launched in July 2009, is the undisputed leader in the one-week fantasy sports industry. Offering fantasy sports for NFL, MLB, NBA and NHL FanDuel targets the 30+ million adult fantasy sports players in North America.  Players draft fantasy sports teams at any time of the season in head-to-head or multi-player contests, paying an entry fee for each contest and vie for cash prizes. In 2013 the company awarded over $150m in prizes and is on course to award over $400m in 2014. The company currently has over 100 employees and is headquartered in New York."
Fair,https://www.crunchbase.com/organization/fair,"Automotive, Financial Services, FinTech",Fair is a car leasing company that aims to grant access to mobility to everyone by pioneering the car-as-a-service (CaaS) concept.,"Fair is a car leasing company that aims to grant access to mobility to everyone by pioneering the car-as-a-service (CaaS) concept. It gives customers the freedom to drive the car they want for as long as they want, and the flexibility to walk away at any time. Fair is headquartered in Santa Monica, California."
Factual,https://www.crunchbase.com/organization/factual,"Analytics, Digital Marketing, Geospatial, Internet, Location Based Services, Mobile, Mobile Advertising",The location data company the world’s most valuable brands and tech companies trust to understand and intelligently grow their businesses.,"Factual is the location data company the world’s most valuable brands and tech companies trust to understand and intelligently grow their businesses. Factual provides product and engineering teams, marketers and data analysts access to the world’s most trusted, accurate and comprehensive data on places and people worldwide, transforming products, advertising and businesses with data that puts everything in context."
Faircent,https://www.crunchbase.com/organization/faircent,"Banking, Financial Services, Lending",Faircent.com is a website where borrowers and lenders connect directly.,"Faircent helps in eliminating the high margins which intermediaries like banks and financial institutions make on our transactions. Banks have massive overheads, with thousands of employees to pay and hundreds of branches to maintain. Banks must take large margins on the money that passes through them. Whereas at Faircent.com people who have spare money lend it directly to people who want to borrow. There are no banks in the middle, no huge overheads"
Fastly,https://www.crunchbase.com/organization/fastly,"Cloud Security, Content Delivery Network, Enterprise Software, Internet, Security",Fastly helps digital businesses keep pace with their customer expectations by delivering secure and scalable online experiences.,"Fastly helps the world’s most popular digital businesses keep pace with their customer expectations by delivering fast, secure, and scalable online experiences. Businesses trust the Fastly edge cloud platform to accelerate the pace of technical innovation, mitigate evolving threats, and scale on demand. Founded in 2011, Fastly powers online destinations including Airbnb, GitHub, Alaska Airlines, Pinterest, Vimeo, The Guardian, The New York Times and Ticketmaster. The company is headquartered in San Francisco, California, United States."
FabFitFun,https://www.crunchbase.com/organization/fabfitfun,"E-Commerce, Fashion, Subscription Service, Wellness",FabFitFun offers subscription services that allow its members to discover brands and products.,"FabFitFun offers subscription services that allow its members to discover brands and products. FabFitFun is a team of self-starters, working together to achieve their mission. It’s a fast-paced environment, but they always take the time to celebrate birthdays, big wins, and cheer each other on. abFitFun was founded in 2010 and is backed by tier-one investors, including New Enterprise Associates, Upfront Ventures, and Simon Venture Group."
Fanatics,https://www.crunchbase.com/organization/fanatics,"E-Commerce, Retail, Retail Technology, Shopping, Sports",Fanatics is an online retailer of officially licensed sports merchandise providing the ultimate shopping experience to sports fans.,"Fanatics is the market leader for officially licensed sports merchandise and provides the ultimate shopping experience to sports fans. A top 50 Internet Retailer Company, Fanatics comprises the broadest online assortment by offering hundreds of thousands of officially licensed items via its Fanatics (www.fanatics.com) and FansEdge (www.fansedge.com) brands, as well as the largest selection of sports collectibles and memorabilia through Fanatics Authentic (www.fanaticsauthentic.com). A multi-channel company, Fanatics operates more than 300 online and offline stores, including the e-commerce business for all major professional sports leagues (NFL, MLB, NBA, NHL, NASCAR, PGA), major media brands (NBC Sports, CBS Sports, FOX Sports) and more than 150 collegiate and professional team properties. The company’s in-venue and event retail portfolio includes the NBA, NHL, NASCAR, Texas Longhorns, LSU Tigers, Arizona Coyotes and New Jersey Devils, allowing fans to experience a seamless shopping experience across online, mobile and physical store locations."
Fast Radius,https://www.crunchbase.com/organization/fast-radius-inc,"3D Printing, E-Commerce, Information Technology, Manufacturing, Software",Production-grade additive manufacturing solutions,"Fast Radius is the leading provider of additive manufacturing solutions – from application discovery, to product design and testing, to production-grade manufacturing and global fulfillment. We bring the future of manufacturing and supply chains to our clients. From entirely new products uniquely enabled by additive manufacturing…to global supply chain solutions leveraging our virtual warehouse, we can help."
