Organization Name,Organization Name URL,Categories,Description,Full Description
Creative Destruction Lab,https://www.crunchbase.com/organization/creative-destruction-lab,"Advice, Angel Investment, Finance, Quantum Computing, Venture Capital","Creative Destruction Lab is a seed-stage program for massively scalable, science- and technology-based ventures.","The Creative Destruction Lab is a seed-stage program for massively scalable, science- and technology-based ventures. It employs a unique, objectives-focused coaching process to help founders commercialize advances in science and technology. The program pairs startups with exited entrepreneurs and star scientists in areas such as artificial intelligence, quantum computing, healthcare, blockchain, energy, and cleantech. Founded at the Rotman School of Management at the University of Toronto, CDL now operates locations in six cities including Vancouver, Calgary, Toronto, Montreal, Halifax, and Oxford."
Citigroup,https://www.crunchbase.com/organization/citigroup,"Banking, Credit Cards, Financial Services, Wealth Management",Citigroup is a diversified financial services holding company that provides various financial products and services.,"Citigroup is a diversified financial services holding company that provides various financial products and services. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services. Citigroup Inc. was founded in 1812 and is based in New York, United States."
Cloudflare,https://www.crunchbase.com/organization/cloudflare,"Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting",Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online. Its online platforms include Cloudflare CDN that distributes content around the world to speed up websites, Cloudflare optimizer that enables web pages with ad servers and third-party widgets to download Snappy software on mobiles and computers, CloudFlare security that protects websites from a range of online threats including spam, SQL injection, and DDOS, Cloudflare analytics that gives insight into website’s traffic including threats and search engine crawlers, Keyless SSL that allows organizations to keep secure sockets layer (SSL) keys private, and Cloudflare applications that help its users install web applications on their websites. Lee Holloway, Matthew Prince, and Michelle Zatlyn founded Cloudflare in 2009, with its headquarters in San Francisco in California."
CBRE Group,https://www.crunchbase.com/organization/cbre-group,"Consulting, Industrial, Intellectual Property, Project Management, Real Estate","CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries","CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries. The Company is a commercial real estate services firm. As of December 31, 2011, it operated approximately 300 offices worldwide, providing commercial real estate services under the CBRE brand name, investment management services under the CBRE Global Investors brand name and development services under the Trammell Crow brand name. CBRE Services, Inc., its direct wholly owned subsidiary, is also a holding company and is the primary obligor or issuer with respect to most of its long-term indebtedness. The Company operates in five segments: Americas, Europe, Middle East and Africa (EMEA), Asia Pacific, Global Investment Management and Development Services. In March 2014, the Company acquired VALTEQ Gesellschaft mbH and its subsidiaries."
Clearbanc,https://www.crunchbase.com/organization/clearbanc,"E-Commerce, Finance, Financial Services, FinTech, Software",Clearbanc provides growth capital for web-enabled businesses through its 20-minute term sheet.,"Clearbanc invests in entrepreneurs to help them grow their web-enabled businesses.  Clearbanc offers fast, affordable growth capital to eCommerce and B2B/SaaS companies. Our investments range from $10K - $10M. Launched in 2015, Clearbanc uses proprietary underwriting technology to offer more capital at quicker speeds and more flexible terms than other financing alternatives."
Coplex,https://www.crunchbase.com/organization/coplex-accelerator,"Incubators, Mobile, Product Design, Software, Venture Capital",Coplex is a venture builder that partners with industry experts and innovative enterprises to start high-growth tech companies.,"Coplex is a venture builder that partners with industry experts and innovative enterprises to start high-growth tech companies. In our venture builder program, we partner with industry experts to turn problems and ideas into investable technology companies in as little as 9 months. The program is built on a proven lean startup process and provides support with building a team, product development, go-to-market, mentorship, immersive education, fundraising, and much more. Coplex has helped start over 285 startup companies around the globe. Our startups have raised over$1.5B in VC and have an aggregate market value of over $4.5B. We’ve been featured in VentureBeat, Inc, Forbes, Entrepreneur, The Next Web, NPR, Mashable, USA Today, and the Washington Post."
Curve,https://www.crunchbase.com/organization/curve,"Banking, Financial Services, FinTech, Payments",Curve is an Over The Top banking platform that consolidates all bank cards into a single smart card and app.,"Curve is an over-the-top banking platform, consolidating all your cards and accounts into one smart card and even smarter app. It allows customers to supercharge their legacy banks to the 21st century without leaving their bank or topping-up. Curve offers a host of benefits to its customers; it makes all your cards fee-free when spending abroad, you get instant notifications and categorisation of spend, you can earn instant 1% cashback at the likes of Amazon, Uber, Netflix and Sainsbury’s and Time Travel enables customers to swap spend to a different card in the app for up to two weeks after the purchase was made. Curve also offers Curve Customer Protection, a policy that covers all credit and debit card payments made via the Curve card up to £100,000, giving cardholders an extra layer of protection for disputes with merchants and any unauthorised use of their Curve card. Whether you have a Curve Metal card, Curve Black card or Curve Blue card, Curve Customer Protection offers you a better level of protection in many ways - filling in the gaps that Section 75 leaves."
Clumio,https://www.crunchbase.com/organization/clumio,"Computer, SaaS, Software",Clumio is a Company building a public cloud SaaS data .,"Clumio is the innovator of authentic SaaS for enterprise backup. Using this secure service, organizations eliminate hardware and software for on-premise backup and avoid the complexity and cost of running 3rd party backup software in the cloud. As enterprises move aggressively to cloud, they use Clumio to protect workloads like VMware Cloud on AWS and native AWS services. Born in the public cloud, Clumio can leverage the most modern cloud services to ensure it meets the current and future backup requirements of the most demanding enterprises. For more information, visit: www.clumio.com"
Cybereason,https://www.crunchbase.com/organization/cybereason,"Computer, Cyber Security, Enterprise Software, Intrusion Detection, Network Security, Real Time",Cybereason is an endpoint detection and response platform that identifies cyber attacks for effective response.,"Cybereason is the leader in endpoint protection, offering endpoint detection and response, next-generation antivirus, and managed monitoring services. Founded by elite intelligence professionals born and bred in offense-first hunting, Cybereason gives enterprises the upper hand over cyber adversaries. The Cybereason platform is powered by a custom-built in-memory graph, the only truly automated hunting engine anywhere. It detects behavioral patterns across every endpoint and surfaces malicious operations in an exceptionally user-friendly interface. Cybereason is privately held and headquartered in Boston with offices in London, Tel Aviv, and Tokyo."
Credit Karma,https://www.crunchbase.com/organization/credit-karma,"Credit, Finance, FinTech, Personal Finance",Credit Karma is a personal finance company that's focused on helping everyone make financial progress.,"Credit Karma is a personal finance company that's focused on helping everyone make financial progress. Whether they're interested in getting a better deal on a loan, looking for ways to save, or simply monitoring their credit, Credit Karma offers a range of tools and personalized recommendations designed to help them make the most of their money. With more than 60 million members, Credit Karma helps people gain insight into their finances and credit information – and ultimately, improve their financial standing. Credit Karma was established in 2007 and is based in San Francisco, California."
