Organization Name,Organization Name URL,Categories,Description,Full Description
Qapital,https://www.crunchbase.com/organization/qapital,"Apps, Banking, FinTech, Personal Finance","Qapital empowers people to maximize their happiness by saving, spending, and investing with goals in mind.","Launched in 2012, and led by Founder & CEO, George Friedman, Qapital is a new kind of banking experience that empowers people to maximize their happiness by saving, spending, and investing with their goals in mind.  By blending behavioral psychology with technology, Qapital provides people with the tools they need to make managing money easy and fun.   The Qapital app is designed to help users better understand their saving, spending, and investing habits by highlighting the tradeoffs made when managing money.  It allows users to save for their real-life goals with customizable, automated deposits that are linked to their everyday actions, like riding the bus, going to the gym, or buying a coffee.  To help users spend more intentionally, Qapital provides an FDIC-insured checking account, Qapital Visa® Debit Card, and Weekly Spending Target tool to track day-to-day spending.  And for more long-term goals, Qapital Invest, which is set to launch in Spring 2018, will bring a goal-based and automated approach to the world of investing, offering users an effortless way to grow their money and plan for their future."
QASymphony,https://www.crunchbase.com/organization/qasymphony,"Developer Tools, Software","QASymphony is a leading agile software company that provides enterprise test case management, exploratory testing solutions for development.","QASymphony is a leading agile software company that provides enterprise test case management and exploratory testing solutions for development and QA teams. QASymphony's qTest Platform helps companies create better software by improving speed, efficiency, collaboration and analysis during the testing process. The company has over 400 customers across 20 countries including Salesforce, Barclays, Adobe, Samsung, Verizon and Office Depot. QASymphony was recently selected by Gartner as a ""Cool Vendor in Application Development"" and by Red Herring as a ""Global Top 100 Winner"". The company is headquartered in Atlanta, GA. Background and History: QASymphony was founded in June 2011. QASymphony was co-founded by Vu Lam, CEO and Josh Lieberman. The company has it’s headquarters in Atlanta, GA, with additional offices in Dublin, CA and Ho Chi Minh City, Vietnam."
Qare,https://www.crunchbase.com/organization/qare,"Health Care, Hospital","Qare is a unique on-demand, online-to-offline, virtual medical practice, offering all the benefits of the French medical system.",
Qardio,https://www.crunchbase.com/organization/qardio,"Artificial Intelligence, Big Data, Biotechnology, Consumer Electronics, Health Care, Machine Learning, Medical, Medical Device, SaaS",Qardio is a digital health company offering smart innovative devices for better heart health management.,"Qardio is the multi award-winning digital health company offering a better way of tracking health with clinically-validated devices that are powerful and smart. The company has been recognized for its ground-breaking technologies, innovative design and exceptional user experience - all qualities present in every Qardio device. Qardio’s smart solutions contribute to an improved and healthier lifestyle, allowing users to get deeper insights into their health without impacting their lifestyle. Qardio ecosystem empowers each user to know their body better and share their data with their family and doctor for added support and healthcare outcomes."
Qapa,https://www.crunchbase.com/organization/qapa,"Employment, Human Resources, Internet, Recruiting, Staffing Agency",Qapa is a job matching marketplace that connects job seekers and recruiters with a matching algorithm,"Qapa is a social job matching marketplace. Its ambition is to build the next generation of job board. With a 100% free job posting model, a proactive and real-time matching between candidates and offers, Qapa revolutionizes the online recruitment."
qapsula,https://www.crunchbase.com/organization/qapsula,"Health Care, Internet, Medical",qapsula offers a telemedicine service for online communication between patients and doctors.,qapsula offers a telemedicine service for online communication between patients and doctors.
Qareer Group Asia,https://www.crunchbase.com/organization/qareer-group-asia,Career Planning,Qareer Group Asia is a  job marketplace company.,Qareer Group Asia is Connecting millions of professionals in South East Asia and empower them to reach the career of their dreams.
Qasa AB,https://www.crunchbase.com/organization/qasa-ab,"Developer Tools, Internet, Software",Qasa is an online service for housing sublets.,"Qasa is a digital platform for second-hand rental, which creates a smooth and safe experience for both homeowners and landlords.  Qasa's matching algorithm guides the cliets right into the housing jungle and helps them find the right home without effort. Qasa is all about making it a pleasant experience to discover the perfect match in the housing rental market and to make you feel home. The company digitally handle all steps of rental process and the company promise to stay by the clients side through their whole rental.  "
Qatar Airways,https://www.crunchbase.com/organization/qatar-airways,"Aerospace, Transportation","Qatar Airways, the national airline of Qatar, operates a fleet of first class, business class, and economy class flights worldwide.","Qatar Airways is the national airline of the State of Qatar that operates a fleet of first class, business class, and economy class flights worldwide. It has more than 340 aircraft on order, including Boeing 777 and 787 and Airbus A380 and A350. Its global network currently spans key business and leisure destinations across Europe, Middle East, Africa, Asia Pacific, North America, and South America, with scheduled flights operating to and from its hub in Doha. Its lounge facilities are available to its premium class customers, privilege club platinum, gold and silver members travelling on Qatar Airways as well as oneworld Emerald and Sapphire members travelling on any oneworld flight. Its official website, qatarairways.com, allows passengers to book flights and search for information on the airline. The site also features the price of tickets, a flight deals section, and a navigation tool to find the information. The airline offers a set of special services to expectant mothers, passengers with special dietary requirements, disabled passengers, and unaccompanied minors. Qatar Airways was voted Airline of the Year 2011 and in 2012 in the Skytrax industry audit. It was awarded a 5-Star rating by Skytrax. Qatar Airways was founded in 1993 and was relaunched in 1997. It is based in Doha, State of Qatar."
Qantas,https://www.crunchbase.com/organization/qantas,Travel,Qantas has grown to be Australia’s largest domestic carrier and one of the world’s oldest and most respected premium airlines.,"Founded in the Queensland outback in 1920, Qantas has grown to be Australia's largest domestic and international airline. Registered originally as the Queensland and Northern Territory Aerial Services Limited (QANTAS), Qantas is widely regarded as the world's leading long distance airline and one of the strongest brands in Australia. They have built a reputation for excellence in safety, operational reliability, engineering and maintenance, and customer service."
