Organization Name,Organization Name URL,Categories,Description,Full Description
Nazara Technologies,https://www.crunchbase.com/organization/nazara-technologies,"Gaming, Mobile, Mobile Apps, Video Games","Nazara Technologies develops mobile content such as games, themes, wallpapers and multimedia.","Nazara Technologies Pvt., Ltd. develops mobile content in India. The company offers games, multimedia, themes, and wallpapers. It also provides solutions for the development, deployment, targeting, and tracking of promotional campaigns on mobile platforms; and wireless solutions that integrates content of media companies, marketing messages, and the consumer reach of wireless carriers.  Nazara Technologies Pvt., Ltd. is headquartered in Mumbai, India."
Naver Corporation,https://www.crunchbase.com/organization/naver-corporation,"Internet of Things, Online Portals, Search Engine",Naver Corporation runs South Korea's #1 search engine and offers a large variety of online services for Asian users.,"NAVER Corporation is South Korea’s premier Internet company, headquartered in Seongnam city and operating the nation’s top search portal NAVER. NAVER was launched in June 1999 and has since stood at the forefront of technological growth, extending its influence to Japan and other foreign countries. NAVER has introduced many innovative search services over the years, such as ‘Comprehensive Search,’ ‘Knowledge iN,’ and ‘Real-time Rising Keyword.' It also offers UGC services such as Blog and Cafe; Junior Naver, a children’s portal; Happybean, an online donation portal. NAVER launched its Webtoon service in June 2004 and has pioneered distribution and consumption of webtoons, also known as digital comics. In addition, NAVER also offers services for the global market, including the mobile messenger LINE through LINE Corporation, NAVER’s subsidiary; the video messenger Snow; and the group communication service BAND. NAVER is also involved in software development and distribution; performances and exhibitions business; mobile content development and distribution; search advertising; internet commerce and customer service business; the operation and security services of IT infrastructure; operating online shopping services; and mobile applications marketing."
Nationwide Building Society,https://www.crunchbase.com/organization/nationwide-building-society-llc,"Finance, Financial Services, Insurance",Nationwide Building Society is a British mutual financial institution and the largest building society in the UK.,"Nationwide Building Society is a British mutual financial institution and the largest building society in the UK. It has its headquarters in Swindon, with an office in Threadneedle Street, London, and with administration centres based in Bournemouth, Northampton and Dunfermline. Nationwide’s origins lie in the Provident Union Building Society (Wiltshire, 1846), the Northampton Town & County Freehold Land Society (Northampton 1848), and within the co-operative movement in London (1884). Following numerous mergers – most importantly the merger with Anglia Building Society in 1987 and the Portman Building Society in 2007, Nationwide is the now the world’s largest mutual financial institution, the UK’s third largest mortgage lender, and one of the UK’s largest savings providers."
Narvar,https://www.crunchbase.com/organization/narvar,"E-Commerce, Retail, SaaS, Shipping, Supply Chain Management","Narvar is a customer experience platform that helps retailers inspire long-term customer loyalty, at all steps of the post-purchase journey.","Narvar helps retailers inspire loyalty beyond reason. As an enterprise-grade customer experience platform serving 500+ retailers like Sephora, Patagonia, Home Depot, Gap, and Bose, Narvar enables seamless post-purchase experiences that retain, engage, and delight customers — from cart to doorstep, and beyond. With effortless order tracking, proactive communications, and seamless returns, Narvar applies machine learning across billions of interactions to simplify the everyday lives of consumers.  The company was established in 2012 and is based in San Francisco, California."
Nav,https://www.crunchbase.com/organization/creditera,"Finance, Financial Services, FinTech","Nav bridges the gap between SMB and financial institutions by bringing transparency, certainty, and efficiency to B2B credit and financing.","Nav is the leading Business Financial Management app offering free access to personal and business credit reports from major consumer and commercial credit bureaus including Dun & Bradstreet, Experian and TransUnion. The Nav platform also helps small business owners make informed business credit decisions and hosts a robust marketplace with more than 110 business financing products including loans and credit cards. The marketplace uses a unique, lender-neutral approach to help business owners find the best financing options for their needs. Nav's solution is also leveraged by other business service providers to enhance their customer experience. Nav has offices in Salt Lake City, UT, and Silicon Valley."
Narrator,https://www.crunchbase.com/organization/ai-narrator,"Analytics, Artificial Intelligence, Education",Narrator is a data platform that fundamentally changes the way people approach problems.,Narrator is a data platform that fundamentally changes the way people approach problems.
Nanigans,https://www.crunchbase.com/organization/nanigans,"Advertising, Advertising Platforms, Analytics, Artificial Intelligence, Mobile Advertising, Predictive Analytics, SaaS, Social Media Marketing",Nanigans advertising automation software powers the world’s leading in-house performance marketing teams.,"Nanigans advertising automation software powers the world’s leading in-house performance marketing teams. Offered as Software-as-a-Service, Nanigans software features programmatic media buying, predictive revenue optimization, and real-time business intelligence across today’s most valuable channels. Nanigans is headquartered in Boston, with offices in New York, San Francisco, Seattle, London, Sydney, and Singapore."
Nauto,https://www.crunchbase.com/organization/nauto-inc,"Automotive, Autonomous Vehicles, Information Services, Machine Learning, Mobile",Nauto is an AI-technology company on a mission to make driving safer and smarter,"Nauto is an AI-technology company that’s improving the safety of commercial fleets today and the autonomous fleets of tomorrow. Nauto’s intelligent driver safety system assesses how drivers interact with the vehicle and the road ahead to reduce distracted driving and prevent collisions. Nauto’s intelligent driver safety system assesses how drivers interact with the vehicle and the road ahead to reduce distracted driving and prevent collisions. With this knowledge, Nauto is powering the development of self-driving technology that brings the best of human driving to autonomy."
Natera,https://www.crunchbase.com/organization/natera,"Biotechnology, Genetics, Health Diagnostics, Medical",Natera develops tests ranging from pre-implantation genetic diagnosis for IVF to advances in the field of non-invasive prenatal testing.,"Natera is driven by a passion for elevating the science and utility of prenatal testing. The advent of the Information Age has created a paradigm shift in the fields of computing and informatics. Surprisingly, medical diagnostics have been slow to integrate these advances into genetic testing."
Namely,https://www.crunchbase.com/organization/namely,"Enterprise Software, Human Resources, Management Information Systems, Software","Namely is an all-in-one platform that manages all HR data in one place, with personalized service to help companies get better and faster.","Namely is an all-in-one platform that manages all HR data in one place, with personalized service to help companies get better and faster. Namely give companies the software and support they need to evolve their company cultures It has evolved along with company needs. They handle administration and compliance across HR, payroll, time, and benefits, so HR teams can focus on developing their people and providing a great employee experience."
