Organization Name,Organization Name URL,Categories,Description,Full Description
Xero,https://www.crunchbase.com/organization/xero,"Accounting, Banking, Billing, Collaboration, Finance, FinTech, Personal Finance, SaaS, Software","Xero is a suite of online accounting software for small businesses, accountants, and bookkeepers.","Xero is a suite of online accounting software for small businesses, accountants, and bookkeepers. It enables its users to track and manage cash flow processes, invoicing, payments, reporting, and pay runs. Users can use Xero through any one of its three monthly subscription packages: starter, standard, and premium. The software solution is available on iOS and Android platforms. Founded in 2006, the company is headquartered in Wellington, Wellington, New Zealand."
XebiaLabs,https://www.crunchbase.com/organization/xebialabs,"Delivery, Developer Tools, Enterprise Software, Information Technology, Software",XebiaLabs develops enterprise-scale Continuous Delivery and DevOps software.,"XebiaLabs was founded in the early days of DevOps to help large companies accelerate their software releases with more reliability - no matter how diverse the infrastructure or how complex the processes. Since then its release orchestration and application delivery software has been adopted by the largest and most demanding companies in the world, providing them with the visibility, automation and control they need to deliver software faster and with less risk. Headquartered in the U.S., XebiaLabs has a world-wide network of sales offices and partners."
Xerox,https://www.crunchbase.com/organization/xerox,"Digital Media, Hardware, Information Technology, Printing, Software","Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Xerox is a document management technology and services enterprise.  They produce printing and publishing systems, digital presses, multifunction devices, laser and solid link network printers, copiers, and fax maches."
Xeneta,https://www.crunchbase.com/organization/xeneta,"Analytics, Enterprise Software, Logistics, SaaS, Shipping",Xeneta is the leading ocean freight rate benchmarking and market intelligence platform and index. ,Xeneta provides container freight pricing transparency with one platform in real time & on demand. Benchmark your ocean container freight rates with intelligent pricing data.  Xeneta's turnkey software platform holds 45+MN spot and long-term contracted rates for 160+K trade lanes. Stay on top of the shipping price market movements and make sure your rates are competitive.
Xealth,https://www.crunchbase.com/organization/xealth,"Digital Marketing, Health Care, Health Diagnostics, Information Technology, Personal Health","Xealth is a platform for digital health, enabling clinicians to prescribe and monitor digital tools from within the EHR workflow.","Xealth is a platform for digital health that enables health systems to easily organize, integrate, deploy and activate digital health tools from within the EHR workflow. Through the secure Xealth platform, clinicians can find and order the right digital tools and programs for patients direct from the EHR workflow, send these digital health orders to the patient’s smartphone or desktop, and then monitor patient engagement and analyze the effects of more engaged patients. Xealth spun out of Providence St. Joseph Health (PSJH) in 2017, and investors include McKesson Ventures, Novartis, Philips, and ResMed as well as Providence Ventures, UPMC and the Froedtert and Medical College of Wisconsin Health Network."
Xeeva,https://www.crunchbase.com/organization/xeeva,"Artificial Intelligence, Machine Learning, Procurement, Software","Xeeva is a provider of next generation, intelligent procurement solutions.","Xeeva is driving the development and delivery of the next generation of intelligent cloud procurement and financial solutions for indirect spend. The company’s software suite includes Sourcing, Procure to Pay, Supplier Collaboration, Financial Collaboration and Extended Enterprise solutions and is used in over 40 countries and available in 18 languages."
Xeris Pharmaceuticals,https://www.crunchbase.com/organization/xeris-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Xeris Pharmaceuticals is a specialty company developing patient-friendly injectables for indications in diabetes, epilepsy, and immunology.","Xeris is a specialty pharmaceutical company leveraging its novel formulation technology platforms to develop and commercialize ready-to-use, liquid-stable injectables. The company’s proprietary XeriSol™ and XeriJect™ formulation technologies allow for the subcutaneous (SC) and intramuscular (IM) delivery of highly concentrated, non-aqueous, ready-to-use formulations of peptides, proteins, antibodies and small molecules using syringes, auto-injectors, multi-dose pens and infusion pumps. Xeris’ platforms have the potential to offer distinct advantages over existing formulations of marketed and development-stage products. In particular, XeriSol™ and XeriJect™ offer the opportunity to eliminate reconstitution, enable long-term room temperature stability, significantly reduce injection volume, and eliminate the requirement for intravenous (IV) infusion. These attributes can lead to products that are easier to use by patients, caregivers, and health practitioners and reduce costs for payers and the healthcare system."
Xevo,https://www.crunchbase.com/organization/xevoinc,"Apps, Artificial Intelligence, Automotive, Developer Platform, Machine Learning, Mobile, Software",Xevo is a global leader in data-driven user experiences for the automotive and cruise industries.,"Xevo is the trusted global leader in data-driven user experiences for the automotive and cruise industries. Now they are at the leading edge of the biggest change in automotive technology in 50 years with Journeyware, the only highly-scalable cloud-based data management software solution available.   Xevo Journeyware is the future of the connected car experience. It is the only highly-scalable cloud-based data management software solution available, with benefits for both OEMs and consumers. Journeyware’s groundbreaking connected car platform offers data ingestion, analysis, and recommendations, providing automobile manufacturers with valuable data insights and new business opportunities. The solution also delivers the customization consumers demand from their connected cars by easily integrating their digital lives into their vehicles.   Xevo’s Journeyware suite marks a major step forward in the connected car market, changing the way people think about and connect to their cars, and how OEMs analyze and act on consumer and vehicle usage data. Journeyware’s in-car connectivity gives OEMs a competitive edge, and is the perfect foundation to build upon as they shape the future of the automotive UX."
Xenex,https://www.crunchbase.com/organization/xenex-disinfection-services,"Health Care, Hospital, Medical Device, Robotics",The Xenex mission is to save lives and reduce suffering by destroying deadly microorganisms that can cause hospital acquired infections.,"Xenex was founded by Dr. Julie Stachowiak and Dr. Mark Stibich, both holding PhDs in epidemiology from Johns Hopkins. The Xenex mission is to save lives and reduce suffering by destroying deadly microorganisms that can cause hospital acquired infections (HAIs). Xenex’s Pulsed Xenon Full Spectrum™ UV Disinfection Solution reduces the bacterial load often associated with an increased risk for HAIs. Since their commercial launch in June 2010, Xenex devices are now included in infection control protocols in almost three hundred hospitals throughout the U.S. Traditional UV disinfection methodologies primarily achieve one type of cellular damage. Pulsed Xenon Full Spectrum™ UV disinfection Robots leverage the full germicidal UV spectrum, achieving four primary methods of cellular damage. The Xenex Germ-Zapping Robot™ contains NO TOXIC MERCURY.  Xenex is the only UV disinfection provider with multiple hospital customers reporting fewer infections in peer reviewed published studies."
xendit,https://www.crunchbase.com/organization/xendit,"Banking, Finance, Financial Exchanges, Financial Services, FinTech",XENDIT provides payment infrastructure to South East Asia. We can help with accepting and sending payments across the region,"Xendit provides payments infrastructure in South East Asia.  We have an end to end solution that allows modern businesses to accept payments through cards and bank transfers, manage funds through escrow/custodian accounts and disburse funds through the fastest pipes in the markets we serve.  This means we deliver frictionless payments across tech and traditional businesses."
