Organization Name,Organization Name URL,Categories,Description,Full Description
Zomato,https://www.crunchbase.com/organization/zomato,"Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",Zomato offers a search app that provides detailed information for restaurants as well as online food delivery.,"Zomato is a restaurant search and discovery app and website, providing in-depth information for over 1.4 million restaurants across 23 countries. Zomato is used by consumers globally to discover, rate and review restaurants, as well as create their own personal network of foodies for trusted recommendations. In addition to restaurant search and discovery, Zomato has expanded its offering to include Online Ordering, Table Reservations, a Whitelabel Platform, and a Point-of-Sale system, creating cutting-edge technology to connect restaurant businesses and customers in ways that will revolutionize the restaurant industry."
Zendrive,https://www.crunchbase.com/organization/zendrive,"Automotive, Autonomous Vehicles, Big Data, Internet, Mobile",Zendrive leverages mobile sensor data to provide actionable insights that improve safety for passengers and drivers worldwide.,"Our transportation system is evolving. Car ownership in urban centers is peaking and consumers are increasingly choosing on-demand and shared ride services over driving themselves.  At the same time, commercial and on-demand fleets are becoming increasingly reliant on mobile technology, and autonomous cars are making the move from science fiction to reality.   As miles driven shift away from personal vehicles to commercial or shared fleets, a new framework is required for addressing safety.  Zendrive is leading the evolution of safety in an era of transportation innovation and mobile ubiquity. We are dedicated to making roads safer through data and analytics. Through our product suite, we leverage mobile sensor data to provide actionable insights that improve safety for passengers and drivers worldwide."
Zenoti,https://www.crunchbase.com/organization/zenoti,"Billing, Cloud Data Services, CRM, Enterprise Software, Marketing, Mobile, Point of Sale, SaaS, Scheduling, Wellness","Zenoti provides an all-in-one, cloud-based software solution for the spa, salon, and med spa industries.","Zenoti is changing the expectations of what software can do in the beauty and wellness industry. The system supports large spa, salon, med-spa and fitness chains with the tools to expand the network while increasing unit-level performance. In addition to being a true enterprise solution for this industry, Zenoti also supports small ad medium-sized businesses. The all-in-one system helps clients grow and manage operations. The company enables users to manage every aspect of a business in a comprehensive mobile solution with online appointment bookings, POS, CRM, employee management, inventory management, built-in marketing programs, and more. It helps clients streamline systems and decrease costs while enhancing customer retention, and spending. Zenoti was founded in 2010 and is headquartered in Bellevue, Washington."
Zillow,https://www.crunchbase.com/organization/zillow,"Marketplace, Online Portals, Real Estate","Zillow is an online real estate marketplace for finding and sharing information about homes, real estate, and mortgages.","Zillow, Inc. is a leading home and real estate marketplace dedicated to helping homeowners, buyers, sellers, renters, real estate agents, mortgage professionals, landlords, and property managers find and share vital information about homes, real estate, mortgages, and home improvement. Under the Zillow brand, Zillow operates Zillow.com, Zillow Mortgage Marketplace, Zillow Mobile, Zillow Rentals, and Zillow Digs. Rich Barton and Lloyd Frink started Zillow in early 2005, and Zillow.com launched in early 2006 with data and information on millions of U.S. homes. Zillow's goal is to help people make intelligent decisions about their homes -- whether it's buying a home, selling, renting, leasing, remodeling or financing. It's all about empowering people with information and tools to make smart decisions about homes, real estate, and mortgages. Zillow is one of the most-visited U.S. real estate brands. Zillow Mobile boasts the most popular suite of real estate apps, with nearly 480 million homes viewed in May 2014. In addition to information and data on nearly all homes in the U.S. (110 million and counting), Zillow visitors can search homes for sale, homes for rent, and homes not currently on the market. Homeowners can browse remodeling ideas in Dueling Digs, or dig into the latest real estate trends in their neighborhood via Zillow's expansive local data pages. Zillow is a media business model and makes money selling targeted, relevant advertising to real estate professionals, and connecting home and mortgage shoppers with professionals who can help them.  Zillow began trading on the NASDAQ Stock Market on July 20, 2011."
Zhihu,https://www.crunchbase.com/organization/zhihu,"Information Services, Internet, Q&A, Social Media, Social Network",Zhihu is a Chinese social network platform dedicated to questioning and answering.,"Zhihu (知乎) is a Chinese socialized website for questions and answers. It differs from traditional online question and answer forums by enabling users to obtain information through questions that provoke the opinions and views from answerers as individuals. The number of registered users on Zhihu has surpassed 300,000 by the end of January 2012. Zhihu was founded in 2011."
Zeta,https://www.crunchbase.com/organization/zeta,"Cloud Data Services, Corporate Training, Employee Benefits, FinTech, Gift, Human Resources, Payments",Zeta is a fintech company that makes corporate payments and employee gifting quicker and more efficient.,"Zeta is a fintech company that makes corporate payments and employee gifting quicker and more efficient. The company provides various digitized solutions for corporate like digital employee tax benefits, rewards and recognition, and automated cafeteria solutions. Its cloud-based smart benefits suite called Zeta Tax Benefits,  focuses in digitizing tax-saving reimbursements for employees, like mobile reimbursements, fuel reimbursements, gadget reimbursements, gift card, and LTA. The company also aims to encourage HR managers to help engage employees in a better way. Its digitized solution for rewards and recognition, offers a choice of multiple gifting and incentive solutions for employee appreciation, made to all the needs for employee gifting, channel partners, and vendors. Zeta was founded on 2015 and is headquartered in Bengaluru, India."
ZipRecruiter,https://www.crunchbase.com/organization/ziprecruiter,"E-Commerce, Employment, Human Resources, Internet, Mobile Apps, Recruiting, SaaS, Software","ZipRecruiter is an online employment marketplace, connecting millions of employers and job seekers through mobile and email services.","ZipRecruiter is a leading online employment marketplace. Powered by AI-driven smart matching technology, ZipRecruiter actively connects millions of all-sized businesses and job seekers through innovative mobile, web, and email services, as well as partnerships with the best job boards on the web. ZipRecruiter has the #1 rated job search app on iOS & Android. Founded in 2010, Santa Monica-based ZipRecruiter has nearly 1000 employees in two states and three countries."
Zynga,https://www.crunchbase.com/organization/zynga,"Gaming, Mobile, PC Games","Zynga develops, markets, and operates social games as live services played on the Internet.","Zynga develops, markets, and operates social games as live services played on the Internet, social networking sites, and mobile platforms in the United States and internationally. It offers its online social games primarily under the Slots, Words With Friends, Zynga Poker, and FarmVille franchises. The company’s games are accessible on mobile platforms, Facebook, and other social networks, as well as Zynga.com. It also provides advertising services to advertising agencies and brokers."
Zendesk,https://www.crunchbase.com/organization/zendesk,"Customer Service, Enterprise Software, SaaS",Zendesk is a customer service platform that builds software to empower organization and customer relationships.,"Zendesk is a customer service platform that builds software to empower organization and customer relationships. Zendesk builds software for better customer relationships. It empowers organizations to improve customer engagement and better understand their customers. Zendesk products are easy to use and implement. They give organizations the flexibility to move quickly, focus on innovation, and scale with their growth."
Zscaler,https://www.crunchbase.com/organization/zscaler,"Cloud Security, Cyber Security, Enterprise Software, Security",Zscaler is a global cloud-based information security company.,"Zscaler is revolutionizing internet security with the industry’s first Security as a Service platform. As the most innovative firm in the $35 billion security market, Zscaler is used by more than 5,000 leading organizations, including 50 of the Fortune 500. Zscaler ensures that more than 13 million users worldwide are protected against cyber attacks and data breaches while staying fully compliant with corporate and regulatory policies.  Zscaler is a Gartner Magic Quadrant leader for Secure Web Gateways and delivers a safe and productive internet experience for every user, from any device and from any location—100% in the cloud. With its multi-tenant, distributed cloud security platform, Zscaler effectively moves security into the internet backbone, operating in more than 100 data centers around the world and enabling organizations to fully leverage the promise of cloud and mobile computing with unparalleled and uncompromising protection and performance. Zscaler delivers unified, carrier-grade internet security, next generation firewall, web security, sandboxing/advanced persistent threat (APT) protection, data loss prevention, SSL decryption, traffic shaping, policy management and threat intelligence—all without the need for on-premise hardware, appliances or software."
