Organization Name,Organization Name URL,Categories,Description,Full Description
Epic Games,https://www.crunchbase.com/organization/epic-games-2,"Developer Platform, Gaming, Video Games",Epic Games is an American video game development company that creates games and offering its game engine technology to other developers.,"Epic Games is an American video game development company that offers Unreal, Gears of War, and Infinity Blade series of games. At present, the company is working on its next games, Fortnite and Paragon. The company was founded in 1991 and is based in Cary, North Carolina."
Episerver,https://www.crunchbase.com/organization/episerver,"Computer, E-Commerce, Software","Episerver is a global software company offering web content management, digital commerce, and digital marketing.","Episerver is the world’s fastest growing provider of Web Content Management (WCM), online social community and e-commerce platforms. Episerver is the platform of choice for more than 3,500 customers doing business online through engaging websites, communities and e-commerce solutions. It has become the foundation of more than 20,000 websites and is used on a daily basis by over 130,000 web editors.  The Episerver platform is delivered through an extensive network of over 500 partner companies in 30 countries. Episerver combines the stability and support of a commercial product with Episerver World, a thriving developer community of more than 14,000 developers  The company was founded in 1994 and has offices in the United States, Sweden, Denmark, Norway, Finland, The Netherlands, the Ukraine, the United Kingdom, Australia and South Africa."
ePaylater,https://www.crunchbase.com/organization/epaylater-in,"Customer Service, E-Commerce, Financial Services, FinTech, Internet, Online Portals, Payments, Software",ePaylater gives customers the option to ‘buy now and pay later’ on online portals with just one click.,"ePaylater was founded in December 2015 by Aurko Bhattacharya, Prasannaa Murlidharan, Uday Somayajula, Shanmunathan Thiagaraja and Saxena. The company gives customers the option to ‘buy now and pay later’ on online portals with just one click. The customers get 14 days to make the payment and within that period they can make many more transactions via single-click checkouts and can bunch them all together to make a single payment at the end of the period."
Epidemic Sound,https://www.crunchbase.com/organization/epidemic-sound,"Digital Entertainment, Digital Media, Media and Entertainment, Music, Music Streaming, Video",Epidemic Sound is a music company that produces music for online creators.,"Epidemic Sound is a Swedish based music company soundtracking the new generation of video creators. By working directly with composers and owning the music 100%, the company has built a model perfect for online video. Customers subscribe for unlimited use or license individual tracks. All music usage includes clearance on all platforms, worldwide, for all time. The company's catalogue has over 30 000 tracks, spaning over 180 genres, in prime time broadcast quality. Epidemic Sound was founded on 2009 and is headquartered in Stockholms, Sweden."
Epic!,https://www.crunchbase.com/organization/epic,"Digital Media, EBooks, Education, Media and Entertainment, Publishing, Subscription Service",Epic! is a digital library for kids,"Epic! is a leading digital media brand for kids.  Reaching 10 million children in homes and in schools, Epic! encourages kids to explore their interests and learn in a fun, safe, kid-friendly environment.  Our award-winning service provides kids unlimited access to 35,000 curated, high-quality books and videos, including non-fiction titles, picture books, chapter books, graphic novels, audiobooks and learning videos; plus quizzes and reading lists. Kids love Epic! because it's fun, and parents and teachers love Epic! because it's educational. Partnerships with 250 leading publishers such as HarperCollins, Macmillan, Sesame Street, National Geographic Kids and Smithsonian bring an unparalleled selection of high-interest, educational content to kids in the U.S. and around the world.  Content on Epic! is curated by a team of children’s publishing experts, and our algorithm tailors content offerings to each child’s reading level and preferences.  Most importantly, Epic! is designed to encourage kids to discover and explore their interests, which fosters a love of reading and self-directed learning.   Epic! is used in over 91% of U.S. elementary schools.  Well-known content includes Ramona, Peter Rabbit, Fancy Nancy, Batman, Warriors, The Chronicles of Narnia, Nat Geo Kids, Sesame Street, Big Nate and many more.   Epic! was founded by Suren Markosian, founder of several successful technology startups, and Kevin Donahue, former YouTube, Google and Disney executive, with the support of top tier investors and veterans of the children’s publishing industry.  To learn more about Epic!, please visit www.getepic.com."
Epic Sciences,https://www.crunchbase.com/organization/epic-sciences,"Biotechnology, Health Care, Health Diagnostics",Epic Sciences is a diagnostics company improving cancer management by providing real-time biopsy material to guide personalized medicine.,"Epic Sciences is a privately held diagnostics company committed to improving cancer management by providing easily accessible and real-time biopsy material to guide personalized medicine.   Epic is founded on a powerful platform to identify and characterize rare cells including circulating tumor cells (""CTCs"").  Epic is working with a number of partners including numerous pharmaceutical companies, major cancer centers, the National Cancer Institute, and the National Institutes of Health."
Epsor,https://www.crunchbase.com/organization/epsor,"Employee Benefits, Financial Services, FinTech",Epsor designs and distributes employee savings and retirement plans.,"Epsor designs and distributes employee savings and retirement plans.  The company has thus built an easy-to-deploy digital platform with a transparent pricing policy. Compared to other market players, Epsor’s product offering is cheaper and relies on an open architecture, meaning that employees can select funds from various asset managers in accordance with their goals and risk appetite. Epsor also offers tailor-made advises to employees."
Ephesoft,https://www.crunchbase.com/organization/ephesoft,"Finance, Financial Services, Software",Intelligent Document Capture Platform,"Ephesoft is the only Intelligent Document Capture that can run on-premise or in the cloud for OCR for Mortgage, Invoices, Insurance correspondence."
EPIX Therapeutics,https://www.crunchbase.com/organization/advanced-cardiac-therapeutics,"Biotechnology, Life Science, Therapeutics",EPIX Therapeutics develops and commercializes microwave radiometry-based products for electrophysiology tests.,"EPIX Therapeutics develops and manufactures products for use in electrophysiology based on microwave radiometry technology. Its products provide real-time feedback of energy delivered by catheters during cardiac ablation procedures. The company has a strategic relationship with Hansen Medical Inc.  Advanced Cardiac Therapeutics, Inc. (ACT), a medical device company that designs and manufactures a catheter-based system for the treatment of patients with atrial fibrillation (AFIB), today announced it has changed its name to EPIX Therapeutics, Inc."
eporta,https://www.crunchbase.com/organization/eporta,"B2B, Furniture, Marketplace",eporta is a London-based B2B interior marketplace startup that powers the design industry online.,"eporta is a London-based B2B interior marketplace startup that powers the design industry online. Its technology connects “buyers” (interior designers, architects, property developers and retailers) and “suppliers” (1,500 of the world’s best furniture, lighting and accessories brands). The company is taking previously slow and cumbersome processes into the digital age by facilitating communication, quoting, ordering and payments to all happen in one place. "
ePayRails,https://www.crunchbase.com/organization/epayrails,Financial Services,ePayRails is a fintech payment as a service provider.,"ePayRails was founded in January 2018 in Jacksonville, FL. ePayRails is a fintech payment as a service provider (PaaS) with a mission to make payments smarter and faster, enabling seamless reconciliation for both the customer and vendor via a data-rich, secure B2B payments hub."
EpimAb Biotherapeutics,https://www.crunchbase.com/organization/epimab-biotherapeutics,"Biopharma, Biotechnology, Health Care, Therapeutics",EpimAb Biotherapeutics is a privately owned biopharmaceutical R&D company.,"EpimAb Biotherapeutics is a privately owned biopharmaceutical company dedicated to generating novel bi-specific antibody therapeutics based on its proprietary FIT-Ig (Fabs-In-Tandem) platform. Monoclonal antibodies have transformed the treatment of human diseases, including inflammatory and autoimmune diseases, cancer, severe infections and many rare conditions over the course of the past two decades. Bi-specific antibodies are engineered from two different monoclonal antibodies and combine their key features into one molecule. As a novel drug class, bi-specifics provide additional options for the treatment of many life-threatening diseases such as cancer. However, even minor modifications to any pharmaceutically active biologic such as an antibody can significantly change the properties critical to its development, such as its binding properties, the pharmacokinetics, its stability, solubility and the ability to produce it in sufficient quantities at reasonable costs. This challenge has prevented a majority of bi-specific antibodies of potential interest to scientists and clinicians from advancing into clinical development because their drug-like features were compromised. Thus, the need for a new generation of bi-specific antibody therapeutics in the pharmaceutical industry remains high."
Ephemeral Tattoos,https://www.crunchbase.com/organization/ephemeral-solutions,"Biotechnology, Consumer, Fashion, Lifestyle, Retail",Ephemeral is creating *real* tattoos that last 4-6 months. Coming to NYC in 2019.,
ePesos,https://www.crunchbase.com/organization/epesos,"Consumer Lending, Financial Services, Human Resources, Micro Lending, Mobile Payments", Mobile wallet with integrated financial services for the unbanked in Mexico.,"ePesos is building the new payment rails for the underbanked and unbanked in Mexico. Through its platform, ePesos offers low-cost short-term working capital through a revolving line of credit to SMEs without a bank account. Borrowers receive and repay funds through a custom built mobile wallet. In addition, ePesos is partnering with HR software companies to provide affordable payroll advances. With ePesos, employees are able to access funds instantly without going through complicated internal procedures. "
