Organization Name,Organization Name URL,Categories,Description,Full Description
Ideanomics,https://www.crunchbase.com/organization/you-on-demand-holdings,"Artificial Intelligence, Blockchain, Digital Marketing, Financial Services, Information Technology, Marketing Automation, Media and Entertainment, Payments, Supply Chain Management",A fintech company that combines deal origination & enablement with technologies using AI & others to form next-gen smart financial services,"Ideanomics is a global Financial Technology (Fintech) company for transformative industries. Ideanomics combines deal origination and enablement with the application of technologies such as artificial intelligence, blockchain, and others as part of the next-generation of smart financial services. Our projects in New Energy Vehicle markets, Fintech, and advisory services provides our customers and partners better efficiencies, technologies, and access to global markets.  Ideanomics, through its investments and, along with its partners curate innovation around the globe through hubs and centers that foster a pipeline of technological excellence in cleantech, fintech, tradetech, agritech, regtech, insuretech, playtech, healthtech, cyber security, and more.  The company is headquartered in New York, NY, and has offices in Beijing, China. It also has a planned global center for Technology and Innovation in West Hartford, CT, named Fintech Village."
IDx,https://www.crunchbase.com/organization/idx-2,"Artificial Intelligence, Health Care, Health Diagnostics, Medical Device","IDx is a AI diagnostics company on a mission to transform the quality, accessibility, and affordability of healthcare.","IDx is a AI diagnostics company on a mission to transform the quality, accessibility, and affordability of healthcare. Founded in 2010 by a team of world-renowned clinician scientists, the company is focused on developing clinically-aligned autonomous algorithms that detect disease in medical images. By enabling diagnostic assessment in primary care settings, IDx aims to increase patient access to high-quality, affordable disease detection. The company’s first product, IDx-DR, is an FDA-cleared AI-based diagnostic system designed for use at the front lines of care to detect diabetic retinopathy. IDx is developing additional AI-based diagnostic algorithms for the detection of macular degeneration, glaucoma, Alzheimer’s disease, cardiovascular disease, and stroke risk."
IdentityMind,https://www.crunchbase.com/organization/identitymind-global,"Analytics, Artificial Intelligence, Compliance, FinTech, Fraud Detection, Identity Management, Machine Learning, Risk Management, SaaS","IdentityMind provides a SaaS platform that builds, maintains, and analyzes digital identities worldwide.","IdentityMind, creator of Trusted Digital Identities (TDIs), offers a SaaS platform for online risk management and compliance automation. We help companies reduce client onboarding fraud and transaction fraud, and improve AML, sanctions screening, and KYC. IdentityMind continuously builds, validates and risk scores digital identities through eDNA™ technology to ensure global business safety and compliance from customer on-boarding and throughout the customer lifecycle. We securely track the entities involved in each transaction (e.g. consumers, merchants, cardholders, payment wallets, alternative payment methods) to build payment reputations, and allow companies to identify and reduce potential fraud, evaluate merchant account applications, onboard accounts, enable identity verification services, and identify potential money laundering."
ID R&D,https://www.crunchbase.com/organization/id-r-d,"Biometrics, Computer, Software","ID R&D developer of biometric authentication for conversational interface (voice, behavioural).",ID R&D combines a unique vision for a new authentication experience with the capabilities of a leading R&D team in the global biometric industry. ID R&D is focused on developing new and exciting authentication technologies that increase the security of interactions in the digital world with improved user experience. ID R&D has developed a portfolio of biometric technologies (including behavioral biometrics) and provides R&D services to customers looking for an edge in innovation.
IDEAYA Biosciences,https://www.crunchbase.com/organization/ideaya-biosciences,"App Discovery, Biotechnology, Health Care",IDEAYA Biosciences is an oncology-focused biotechnology company committed to the discovery of breakthrough synthetic lethality,"IDEAYA Biosciences (IDEAYA) is an oncology-focused biotechnology company committed to the discovery of breakthrough synthetic lethality medicines targeting DNA damage and repair for genetically defined patient populations and for enhancing immunotherapy response, and immuno-oncology therapies targeting the tumor micro-environment. IDEAYA, located in South San Francisco and La Jolla, California, has assembled leading scientists and advisors with extensive knowledge and expertise in cancer biology and small molecule drug discovery."
Idein,https://www.crunchbase.com/organization/idein,"Computer Vision, Developer Platform, Internet of Things, Machine Learning, Software",Idein seeks to enable all real-world events to be handled by software.,"Idein was founded in 2015 with the aim of enabling all real-world events to be handled by software, applying pattern recognition and signal processing technologies that have made remarkable progress in recent years to sensing. We are working on the development of machine learning models, application applications, and speeding up inference. You can run the inference of trained models on inexpensive computers that are commercially available using acceleration technology. By calculating at the edge, only the necessary data can be taken out when needed, so sensing can be performed without worrying about data communication, privacy, and large-scale data processing problems. With these technologies, Idein will create a future where advanced sensing technology can be used more easily and cheaply. We are also developing our own products and services that make it possible to easily use these advanced sensing technologies in ordinary households."
iDevices,https://www.crunchbase.com/organization/idevices,"Apps, Consumer Electronics, Wireless","iDevices develops wireless connectivity-based, app-enabled products for iOS and Android devices.","iDevices, LLC., is an American based company that creates and specializes in unique products using our extensive knowledge of wireless connectivity. In 2010 iDevices successfully developed and launched the iGrill, and the iGrill applications. The company is currently in development of a variety of new products. iDevices operates a successful consulting practice, helping companies App enable and wirelessly connect their existing and future products to Apple and Android devices. Our product development and consulting departments work hand and hand in order to share the knowledge and experience on both sides of our business."
IDAGIO,https://www.crunchbase.com/organization/idagio,"Apps, Music, Music Streaming",IDAGIO is a streaming service for classical music.,"IDAGIO is the first streaming service designed specifically for classical music. Alongside an easy-to-use interface and a distinguished design, IDAGIO offers the latest releases, expert curated playlists as well as an comprehensive and constantly growing catalogue of over 1 million tracks - 20.000 tracks are added to the catalogue each week. IDAGIO's proprietary data model and its search function and filters are tailor-made for classical music, making it easy to find, list and compare multiple recordings. With IDAGIO you can find, for example, over 200 recordings of Beethoven’s “Emperor” Concerto and filter results by conductor, orchestra or soloist. That is why users, musicians, and labels alike affirm that IDAGIO has developed the very best interface for classical music. IDAGIO is available in over 130 countries on mobile (iOS, Android), iPad, desktop (macOS, Windows), on browsers at www.idagio.com or via Sonos. Idagio was founded by Till Janczukowicz and Christoph Lange, a duo that combines longstanding experience in the management of classical music stars with knowledge of the dos and don’ts in the founder scene around music streaming services."
ID.me,https://www.crunchbase.com/organization/id-me,"Cloud Data Services, E-Commerce Platforms, Identity Management, Privacy",ID.me is a digital identity network that empowers relying parties to grant access or benefits based on verified identity and attributes.,"The mission of ID.me is to make the world a more trusted place by enabling transparent interactions between people and organizations. ID.me is a digital identity network that empowers consumers to prove their identity via a digital medium in contexts where it would benefit the consumer to be known. For relying parties, ID.me provides a single API endpoint through which partners can verify the identity of users attempting to access a website or to unlock an exclusive benefit. The United States Department of Commerce selected ID.me as one of the top five identity companies in America in 2013 and awarded the company a $2.8M grant to participate in the President's National Strategy for Trusted Identities in Cyberspace (NSTIC). ID.me was a Finalist for Wall Street Journal Startup of the Year in 2013. Entrepreneur Magazine selected ID.me as one of 100 Brilliant Companies for 2014 in their June 2014 edition. Key customers include: SeaWorld, Overstock.com, Under Armour, Dell, Sears Holding Corporation and 129 additional retailers and brands."
Idio,https://www.crunchbase.com/organization/idio,"Artificial Intelligence, Marketing Automation, Software",Idio makes buyer-centric marketing possible for global B2B enterprises.,"Idio makes buyer-centric marketing possible for global B2B enterprises. Idio’s Demand Orchestration platform uses Content Intelligence to predict the interests of every individual, and automatically deliver relevant 1:1 experiences across digital channels. Global leaders including Intel, Fitch Ratings, and AllianceBernstein trust Idio’s AI to maximize buyer engagement and pipeline, whilst handling marketing complexity. Idio is based in London and New York, backed by leading SaaS investors including Notion Capital, Juno Capital and Foresight Group, and in 2017 was named by Forrester Research as a Breakout Vendor."
