Organization Name,Organization Name URL,Categories,Description,Full Description
Kobo360,https://www.crunchbase.com/organization/kobo360,"Big Data, E-Commerce, Logistics, Retail, Supply Chain Management",Kobo360 is a tech-enabled digital logistics platform that aggregates end-to-end haulage operations.,"Kobo360 is a tech-enabled digital logistics platform that aggregates end-to-end haulage operations to help cargo owners, truck owners, and drivers, and cargo recipients to achieve an efficient supply chain framework.  Through an all-in-one robust logistics ecosystem, Kobo uses big data and technology to reduce logistics frictions, empowering rural farmers to earn more by reducing farm wastages and helping manufacturers of all sizes to find new markets.  Kobo enables unprecedented efficiency and cost reduction in the supply chain, providing 360-visibility while delivering products of all sizes safely, on time and in full. The Kobo mission is to build the Global Logistics Operating System that will power trade and commerce across Africa and Emerging Markets. The company is also preparing to enter the agro-trading space by creating a marketplace that links farmers with buyers all over the world. The marketplace will effectively eliminate the high cost of middlemen for smallholder farmers and significantly improve profits. Kobo360 was founded in 2017 and is headquartered in Lagos, Nigeria."
Kohlberg Kravis Roberts,https://www.crunchbase.com/organization/kkr,"Angel Investment, Asset Management, Finance, Financial Services, Impact Investing, Infrastructure, Real Estate, Venture Capital","Kohlberg Kravis Roberts is a global alternative asset manager focusing on private equity, fixed income, and capital markets.","Kohlberg Kravis Roberts is a global investment firm that manages multiple alternative asset classes, including private equity, energy, infrastructure, real estate, credit, and, through its strategic partners, hedge funds. The company generates attractive investment returns for its fund investors through a patient and disciplined investment approach, employing world-class people, and driving growth and value creation with KKR portfolio companies. The company invests its own capital alongside the capital it manages for fund investors and delivers financing solutions and investment opportunities through its capital markets business. The firm has completed more than two-hundred-eighty private equity investments in portfolio companies with approximately $545 billion of total enterprise value as of June 30, 2017. Assets Under Management (“AUM”) and Fee Paying Assets Under Management (“FPAUM”) were $153 billion and $114 billion, respectively as of September 30, 2017. Jerome Kohlberg, Jr. and cousins Henry Kravis and George R. Roberts, all of whom had previously worked together at Bear Stearns, where the three completed some of the leveraged buyout transactions founded the company. Kohlberg Kravis Roberts has completed a number of transactions including the 1989 leveraged buyout of RJR Nabisco, which was a large buyout in history to that point, as well as the 2007 buyout of TXU, which is currently also a large buyout completed to date since its founding. Kohlberg Kravis Roberts has offices in 21 cities in 16 countries across 5 continents. The firm is currently headquartered in the Solow Building, New York, but in October 2015, the firm announced its intentions to occupy a newly constructed 30 Hudson Yards. In October 2009, Kohlberg Kravis Roberts listed shares in the company through KKR & Co., an affiliate that holds 30% of the firm's ownership equity, with the remainder held by the firm's partners. Kohlberg Kravis Roberts filed to list its shares on the New York Stock Exchange (NYSE) in March 2010, with trading commencing four months later, on July 15, 2010. It was founded on 1976 and is headquartered in New York."
Kony,https://www.crunchbase.com/organization/kony,"Android, E-Commerce, Enterprise Software, FinTech, iOS, Manufacturing, Mobile, Mobile Apps",Kony is a mobile application development platform provider enabling companies to deliver innovative mobile solutions.,"Kony is the fastest growing, cloud-based digital application and enterprise mobility solutions company, and a leading low-code platform and industry apps provider for accelerating digital transformation. Kony helps organizations of all sizes drive business ingenuity by rapidly transforming ideas into innovative and secure omnichannel applications. Built on the industry's leading digital platform, Kony provides the most innovative and secure omnichannel applications, with exceptional user experience and app design. Kony's cross-platform, low-code solution also empowers organizations to develop and manage their own apps to better engage with their customers, partners and employees. By seamlessly leveraging and connecting apps to all types of data sources and information, Kony also enables organizations to transform their business processes and gain valuable insight.  Kony was named the first place winner in CTIA's MobITs Awards in the Mobile Applications, Development & Platforms category and among the top Cloud Computing companies by CRN, and included on the Inc. 500|5000 list of fastest growing private companies in America. Kony and Diebold Nixdorf have formed a strategic partnership, and Diebold Nixdorf is investing in a minority equity stake in Kony and will have a seat on its board of directors"
Kopari Beauty,https://www.crunchbase.com/organization/kopari-beauty,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Fashion, Food and Beverage, Health Care, Retail",Kopari Beauty is a digitally native e-commerce beauty brand,"Inspired by a healthy, mindful lifestyle, Kopari beauty products embrace and enhance the natural splendor and beauty within each of us with 100% pure organic coconut oil.  Authentic, simple, and pure, Kopari beauty products promote natural radiance, celebrate vitality, and encourage balance while regenerating hair and skin with one of Mother Nature’s greatest gifts, the coconut."
Konfio,https://www.crunchbase.com/organization/konfio,"Financial Services, FinTech",Konfio is an online lending platform for small business loans,"Konfío is an online lending platform for small businesses in Mexico that uses data for rapid credit assessment, allowing owners to focus on what’s important – growing their business."
Komprise,https://www.crunchbase.com/organization/komprise,"Big Data, Cloud Data Services, Data Storage, Information Technology, Internet, SaaS, Software","Komprise give clients a cost-efficient, automated way to store, organize, and analyze data in both on-premise servers and the cloud.","Komprise's data management-as-a-service radically simplifies and transforms how businesses handle the two biggest problems with data - managing its explosive growth painlessly while unlocking data value. We are a stealth mode venture-backed startup founded by successful serial entrepreneurs with a track record of disrupting storage. We are looking for passionate, smart, experienced, energetic individuals to join us in reshaping how data is managed."
Kobiton,https://www.crunchbase.com/organization/kobiton-inc,"Android, iOS, Mobile, Software","Mobile device cloud empowering devs to build great products. Access real devices, run manual or automated scripts, & identify issues faster.","Kobiton builds solutions that empower developers to create awesome products without sacrificing what’s important – time, money and resources. The company provides mobile app developers with access to real iOS and Android devices, allowing them to run manual or automated scripts, and identify issues in real time. With Kobiton, developers enjoy complete control over the entire mobile experience (multi-touch, GPS, camera, etc.), automatically generated activity logs, and highly detailed automation reports that are always accessible to the entire team. Kobiton was incorporated in 2016 and is based in Atlanta, GA. It has additional offices in San Francisco and Ho Chi Minh, Vietnam."
Kount,https://www.crunchbase.com/organization/kount,"E-Commerce, Financial Services, Fraud Detection, Risk Management, SaaS","Kount’s fraud management, identity verification and online authentication technology empowers digital businesses and online merchants.","Kount’s award-winning fraud management, identity verification and online authentication technology empowers digital businesses, online merchants and payment service providers around the world. With Kount, businesses approve more orders, uncover new revenue streams, and dramatically improve their bottom line all while minimizing fraud management cost and losses. Through Kount’s global network and proprietary technologies in AI and machine learning, combined with policy and rules management, companies frustrate online criminals and bad actors driving them away from their site, their marketplace and off their network. Kount’s continuously adaptive platform provides certainty for businesses at every digital interaction. Kount’s advances in both proprietary techniques and patented technology include: Superior mobile fraud detection, Advanced artificial intelligence, Multi-layer device fingerprinting, IP proxy detection and geo-location, Transaction and custom scoring, Global order linking, Business intelligence reporting, Comprehensive order management, Professional and managed services."
KOHO,https://www.crunchbase.com/organization/koho,"Finance, Financial Services",KOHO has set its sights on shaking up the finance industry to help Canadians from Fogo Island to Haida Gwaii restore financial balance.,"KOHO exists so its users can travel more, retire sooner, and restore financial balance. A reloadable card and app with real-time insights into your spending and saving. No fees. Instant updates. Real humans answering your questions."
kompany,https://www.crunchbase.com/organization/kompany,"B2B, Enterprise Resource Planning (ERP), FinTech, GovTech, Information Technology","kompany is a global RegTech platform for audit-proof Business KYC, AML and UBO verification","kompany provides real-time access to official and authoritative commercial register data, including company filings covering more than 100 million companies in 150+ jurisdictions for customer on-boarding (KYC), anti-money laundering (AML), enhanced due diligence (EDD) and ongoing compliance processes or remediation. The real-time search and access to official company filings is possible via  portal or through a RESTful Enterprise API, which enables integration into existing ERP, CRM or other internal compliance systems to automate the verification of business partners, customers and suppliers. Furthermore, kompany provides additional services, such as translation of official documents, access to PEP / sanctions lists and a range of customized solutions (e.g. enhanced VAT number validation).   kompany serves over 60,000 Business Customers from 100+ countries, including large international banking groups, Eurozone central banks, “Bulge Bracket” investment banks, all The Big 4 accounting firms, Government domain registrars, international yellow page companies, 25,000+ small & medium-sized businesses and over 3,300 law firms worldwide. kompany is an official clearing office of the Republic of Austria, a partner of the European Business Register and an official distributor of business registers worldwide, such as Germany’s Common Register Portal, Switzerland’s ZEFIX, the UK’s Companies House, Ireland’s CRO, the Netherland’s KvK, and Russia’s Central Registers."
