Organization Name,Organization Name URL,Categories,Description,Full Description
Pivotal,https://www.crunchbase.com/organization/pivotal,"Big Data, Cloud Computing, Enterprise Software, PaaS, Software",Pivotal is a software company that provides digital transformation technology and services.,"Pivotal is a software company that provides digital transformation technology and services. Its Cloud Native platform drives software innovation for many of the world’s most admired brands. With millions of developers in communities around the world, Pivotal technology touches billions of users every day. After shaping the software development culture of Silicon Valley's most valuable companies for over a decade, today Pivotal leads a global technology movement transforming how the world builds software."
Ping Identity,https://www.crunchbase.com/organization/ping-identity-corporation,"FinTech, Government, Identity Management, Security",Ping Identity provides cloud-based identity management software for companies and government organizations.,"Ping Identity is a Denver-based software developer that protects critical assets for various enterprises, while offering secure access to any application from any device. The company offers identity management, multi-factor authentication, and single sign-on tools for its clients. Its solutions are recommended for financial services, public sector, and healthcare markets. Ping Identity, which was founded in 2002, partners with SaaS vendors, technology companies, system integrators, and value-added resellers."
Pipefy,https://www.crunchbase.com/organization/pipefy,"Information Technology, SaaS, Sales Automation, Software, Task Management",Pipefy provides software for workflow management and process improvement.,"Pipefy is a cloud-based business process management platform that empowers managers to build and execute any type of workflow. Through a simple Kanban-style interface companies can achieve process excellence without the need for IT, technical skills or professional services. Its fully customizable platform helps teams attain higher levels of productivity and efficiency by setting clear execution standards for every step of each process. Pipefy was founded in 2015 by Alessio Alionço, a former mergers and acquisitions consultant. Its headquarters is based in San Francisco in California."
Pipedrive,https://www.crunchbase.com/organization/pipedrive,"CRM, SaaS, Sales Automation, Software",Pipedrive is a Web-based Sales CRM.,"Pipedrive makes sales CRM for companies with big ambitions. The software is used by fast growth companies such as such as Postmates, Fortumo, Blippar and Falcon Social as well as SMBs like 360 Services and Richland Source. Pipedrive's roots are in direct sales. As sales managers and trainers, two of the co-founders experienced an increasing amount of pain with CRM software. There simply was no good solution for managing the company's sales pipeline.  So in 2010 they teamed up with talented developers to create Pipedrive, a simple and yet powerful tool for managing sales.  Pipedrive is used by over 10,000 companies in 100+ countries worldwide."
PIVOT,https://www.crunchbase.com/organization/smartspot,"Computer Vision, Hardware, Machine Learning, Software, Sports","With over a million workouts recorded and analyzed, Pivot is delivering the most incredible home workout experience.",SmartSpot uses 3D cameras to capture a 3D portrait of your body in motion. They determine the orientation of your body over 30 times a second to give accurate real-time reporting of your form. SmartSpot already has sophisticated feedback for 11 of the most common weight exercises: - Bicep Curl  - Alternating Bicep Curl  - Seated Shoulder Press  - Lunges  - Front Squat  - Back Squat - Overhead Squat  - Bent Over Row  - Shoulder Fly  - Seated Tricep Extensions  - Hammer Curl More exercises are being added every day.
Pinterest,https://www.crunchbase.com/organization/pinterest,"Advertising, Internet, Social Bookmarking, Social Media, Social Network, Software",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,"Pinterest is a visual bookmarking tool for saving and discovering creative ideas. Pins are ideas that help you get creative or try something new, whether you’re planning a camping trip or collecting home improvement hacks.  Pins are saved to boards, keeping your ideas organized and easy to find. Follow other people or boards that are saving ideas you’re interested in, so you can do even more of what you love. "
Pie Insurance,https://www.crunchbase.com/organization/pie-insurance,"FinTech, Insurance, InsurTech, Small and Medium Businesses",Pie Insurance is a new workers' compensation insurer with a direct distribution model and a fully digital experience.,"Pie Insurance is a workers’ compensation insurance company that provides workers’ comp coverage to small businesses through a simple online experience. Offering A.M. Best A rated insurance, we leverage data analytics, easy-to-use online features, and a seasoned team of insurance experts to revolutionize workers’ comp for small businesses. As a technology-enabled workers’ compensation insurance company, Pie leverages extensive, high-quality data sets to segment and price small business policies, accurately assessing risks and passing savings on to small business owners. Pie began selling workers comp insurance policies direct to customers in 2018. The company is led by co-founder and CEO John Swigart."
PitchBook Data,https://www.crunchbase.com/organization/pitchbook-data,"Analytics, Finance, SaaS, Venture Capital","PitchBook provides comprehensive M&A, private equity, and venture capital data, as well as daily industry news and analysis.","PitchBook is an independent and impartial research firm dedicated to providing premium data, news and analysis to the venture capital and private equity industries. As a specialty-focused information resource, PitchBook's core strength is its ability to meticulously collect, organize and analyze hard-to-find private equity deal data. PitchBook's flagship product is the web-based PitchBook Platform, as well as its daily newsletter and research reports."
Pioneer Square Labs,https://www.crunchbase.com/organization/pioneer-square-labs,"Artificial Intelligence, Enterprise Software, Internet, Machine Learning, Mobile",Pioneer Square Labs is a startup studio and venture capital fund that creates and launches technology startups.,"PSL is a startup studio and venture capital fund. PSL exists to champion the next generation of founders by bringing together world-class talent, big ideas, and investment capital. Building a great startup is hard. Really hard. It requires domain expertise, uncommon talent, great execution, perfect timing, and a little luck. We work with the best entrepreneurs in the Pacific Northwest to turn the best ideas into fully-funded companies with rapid customer adoption. If you are an experienced execution-oriented business person or technologist looking to run and build a startup that is ready to take off, come talk with us."
Piramal Enterprises Limited,https://www.crunchbase.com/organization/piramal-enterprises-limited,"Financial Services, Pharmaceutical",Piramal Group is a diversified conglomerate with operations in over 30 countries.,"Piramal Enterprises Limited (PEL) is one of India’s large diversified companies, with a presence in Healthcare, Healthcare Information Management and Financial Services. PEL’s consolidated revenues were around $ 1 billion in FY2016, with 61% of revenues from outside India. In healthcare, PEL is one of the leading players globally in CRAMS (custom research and manufacturing services) as well as in the critical care segment of inhalation and injectable anaesthetics. It also has a strong presence in the OTC segment in India. PEL’s healthcare information management business, Decision Resources Group, is amongst the top 20 US market research organizations which provide information services to the healthcare industry."
