Organization Name,Organization Name URL,Categories,Description,Full Description
Netflix,https://www.crunchbase.com/organization/netflix,"Digital Entertainment, Media and Entertainment, TV, Video, Video Streaming","Netflix is an online platform that enables users to watch TV shows and movies on smart TVs, PCs, Macs, mobiles, tablets, and so on. ","Netflix is an online platform that enables user to watch TV shows and movies on smart TVs, gaming consoles, PCs, Macs, mobiles, tablets, and so on. It provides its services under three segments: international streaming, domestic streaming, and domestic DVD. The network enables members to access and view more than one billion hours of TV shows and movies per month, including Netflix original series. Members can play, pause, and resume watching its content without commercial breaks or commitments. The company also provides DVDs-by-mail membership services. Netflix was founded in 1997 by Mitch Lowe, Reed Hastings, and Marc Randolph, and is headquartered in Los Gatos, California."
Nest Labs,https://www.crunchbase.com/organization/nest-labs,"Manufacturing, Sensor, Smart Home","Nest Labs is a home automation company manufacturing sensor-driven, Wi-Fi-enabled, self-learning thermostats and smoke detectors.","Nest Labs is a home automation producer of programmable, self-learning, sensor-driven, Wi-Fi-enabled thermostats, smoke detectors, and other security systems. It introduced the Nest Learning Thermostat in 2011 as its first product. The Nest Protect smoke and carbon monoxide detector was then introduced in October 2013. After acquiring Dropcam, the rebranded Nest Cam was introduced in June 2015."
Neuralink,https://www.crunchbase.com/organization/neuralink,"Artificial Intelligence, Medical, Neuroscience",Neuralink is developing ultra high bandwidth brain-machine interfaces to connect humans and computers.,"Neuralink is developing the capabilities of the brain through technological augmentation. A ""neural lace” would be surgically connected to a human brain and allow a user to interact with a computer without the bandwidth challenges that come with current input methods, including keyboards, mice and trackpads. Neuralink will explore how brain interfaces might alleviate the symptoms of dangerous and chronic medical conditions. Source: [TechCrunch](https://techcrunch.com/2017/03/27/elon-musks-neuralink-wants-to-boost-the-brain-to-keep-up-with-ai/)"
Near,https://www.crunchbase.com/organization/nearco,"Analytics, Artificial Intelligence, Location Based Services, Marketing, SaaS",Near is the world's largest source of intelligence on people and places.,"Near is the world's largest source of intelligence on people and places, processing data from over 1.6 billion monthly users across 44 countries. The Near Platform powers data-driven marketing and enrichment offerings through a suite of SaaS products. The users of the platform can leverage audience, spatial, retail, among other data in a privacy-led environment. Founded in 2012, Near is headquartered in Singapore with offices in San Francisco, New York, London, Bangalore, Tokyo and Sydney. Today, marquee brands such as News Corp, MetLife, The We Company and Mastercard work with Near to provide enhanced customer experiences. Near is backed by leading investors including Sequoia Capital, JP Morgan Private Equity Group, Cisco Investments and Telstra Ventures. Visit www.near.co to find out more."
New Relic,https://www.crunchbase.com/organization/new-relic,"Analytics, Application Performance Management, Cloud Computing, IT Infrastructure, Mobile, SaaS, Software","New Relic is a digital intelligence company, delivering full-stack visibility and analytics to enterprises around the world.","New Relic is a digital intelligence company, delivering full-stack visibility and analytics with more than 14,000 paid business accounts. The New Relic Digital Intelligence Platform provides actionable insights to drive digital business results. Companies of all sizes trust New Relic to monitor application and infrastructure performance so they can quickly resolve issues, and improve digital customer experiences."
Nextdoor,https://www.crunchbase.com/organization/nextdoor,"Communities, GovTech, Internet, Privacy, Private Social Networking, Social Media",Nextdoor is the world’s largest private communications platform for neighborhoods.,"Nextdoor is the world’s largest private communications platform for neighborhoods. On Nextdoor, neighbors create private online communities that help build stronger and safer places to call home. Building connections in the real world is a universal human need. That truth, and the reality that neighborhoods are one of the most important and useful communities in our lives, has been a source of inspiration and a guiding principle for Nextdoor since it was founded.  Today, Nextdoor supports more than 220,000 neighborhoods around the world. David Wiesen, Madison Bell, Nirav Tolia, Prakash Janakiraman, Sarah Leary, and Adam Ginsburg founded Nextdoor in 2010, with headquarters in San Francisco in California. Nextdoor serves customers in the United States, Netherlands, United Kingdom, Germany, France, Spain, Italy, and Australia."
Netskope,https://www.crunchbase.com/organization/netskope,"Cloud Security, Cyber Security, Enterprise Software, Software",Netskope is the leading cloud access security broker (CASB).,"Netskope is the leader in cloud security. Using patented technology, Netskope’s cloud-scale security platform provides context-aware governance of all cloud usage in the enterprise in real time, whether accessed from the corporate network, remote, or from a mobile device. This means that security professionals can understand risky activities, protect sensitive data, stop online threats, and respond to incidents in a way that fits how people work today. With granular security policies, the most advanced cloud DLP, and unmatched breadth of workflows, Netskope is trusted by the largest companies in the world. Netskope — security evolved."
New Knowledge,https://www.crunchbase.com/organization/popily,"Analytics, Embedded Systems, Information Technology",New Knowledge is a cybersecurity company specializing in disinformation defense for highly visible brands.,New Knowledge is a cybersecurity company specializing in disinformation defense for highly visible brands under attack by coordinated disinformation campaigns. Through machine learning and AI we detect threats and provide brand manipulation protection before damage is done.
Netmeds,https://www.crunchbase.com/organization/netmeds-com,"Biotechnology, Health Care, Pharmaceutical",Welcome to India's most convenient pharmacy!,"Who we are - India's most convenient online pharmacy Netmeds.com, India Ki Pharmacy, is brought to you by the Dadha & Company – one of India’s most trusted pharmacies, with over 100 years’ experience in dispensing quality medicines. At netmeds.com, we help you look after your own health effortlessly as well as take care of loved ones wherever they may reside in India. You can buy and send medicines from any corner of the country - with just a few clicks of the mouse."
NewsCred,https://www.crunchbase.com/organization/newscred,"Advertising, Content Marketing, Digital Marketing, Journalism, Publishing",NewsCred provides access to licensed content from various publishers.,"NewsCred develops and operates a content marketing platform for marketers. It provides access to licensed content from various publishers.  NewsCred also offers NewsRoom, a freelance-based newswire service to provide content from various journalists, photographers, videographers, and designers. Moreover, it offers content and social analytics, audience insights and targeting, influencer and competitor tracking, and custom reporting solutions; and social and Web publishing, social listening and engagement, paid social and native advertising, and integrations and data consolidation.  Further, NewsCred offers Content Marketing Maturity Index to help brands assess their content marketing and improve strategy, as well as provide marketers with tailored recommendations to enhance their content strategy. Asif Rahman, Iraj Islam, and Shafqat Islam founded it in 2008, with its headquarters in New York City."
